FID,OBJECTID,STATE_FIPS,CNTY_FIPS,STCOFIPS,TRACT,FIPS,POPULATION,POP_SQMI,POP2010,POP10_SQMI,WHITE,BLACK,AMERI_ES,ASIAN,HAWN_PI,HISPANIC,OTHER,MULT_RACE,MALES,FEMALES,AGE_UNDER5,AGE_5_9,AGE_10_14,AGE_15_19,AGE_20_24,AGE_25_34,AGE_35_44,AGE_45_54,AGE_55_64,AGE_65_74,AGE_75_84,AGE_85_UP,MED_AGE,MED_AGE_M,MED_AGE_F,HOUSEHOLDS,AVE_HH_SZ,HSEHLD_1_M,HSEHLD_1_F,MARHH_CHD,MARHH_NO_C,MHH_CHILD,FHH_CHILD,FAMILIES,AVE_FAM_SZ,HSE_UNITS,VACANT,OWNER_OCC,RENTER_OCC,SQMI,Shape_Leng,Shape_Area
0,32122,17,31,17031,804403,17031804403,7019,4203,6760,4047.9,4452,373,49,986,1,1935,673,226,3205,3555,560,502,426,329,399,1043,1086,927,828,360,208,92,36.1,35.2,36.8,2570,2.63,274,407,683,682,64,158,1751,3.22,2652,82,1890,680,1.67,0.11090032,0.000471754
1,32123,17,31,17031,804404,17031804404,5350,4458.3,5233,4360.8,3334,172,76,461,0,2797,1037,153,2685,2548,386,410,448,381,337,809,796,749,545,246,96,30,33.1,32.4,33.9,1498,3.46,78,108,583,465,52,64,1243,3.78,1558,60,1364,134,1.2,0.097513434,0.000336677
2,32124,17,31,17031,804405,17031804405,3561,5564.1,3701,5782.8,1917,572,64,204,4,2146,778,162,1796,1905,400,387,356,304,244,620,623,391,213,89,31,43,28,27.7,28.3,1061,3.45,74,76,396,159,63,172,867,3.79,1104,43,420,641,0.64,0.076290829,0.000181594
3,32125,17,31,17031,804406,17031804406,6518,2370.2,6247,2271.6,3855,309,59,837,0,2928,965,222,3072,3175,559,510,467,420,355,1114,1049,821,539,250,134,29,32.6,32.4,32.8,1961,3.17,173,245,658,421,73,146,1438,3.71,2068,107,1764,197,2.75,0.136171459,0.000772994
4,32227,17,31,17031,824113,17031824113,6463,2161.5,6562,2194.6,5934,78,3,396,0,348,84,67,3166,3396,318,451,529,592,349,473,808,1282,1009,424,250,77,42.5,42,42.9,2176,3.02,89,200,767,883,25,65,1855,3.33,2219,43,2119,57,2.99,0.126013856,0.000837154
5,32228,17,31,17031,824003,17031824003,6391,4347.6,6336,4310.2,6080,5,4,97,0,316,65,85,3104,3232,316,460,514,467,305,553,861,1172,762,486,268,172,42,40.4,43.2,2165,2.86,168,219,734,746,36,82,1711,3.28,2240,75,1905,260,1.47,0.097740372,0.000411669
6,32229,17,31,17031,824005,17031824005,5884,1346.5,5539,1267.5,5308,25,9,87,2,293,46,62,2759,2780,282,386,488,466,302,418,763,1077,715,392,182,68,41,39.7,42.3,1897,2.92,137,181,639,680,29,88,1529,3.31,2032,135,1717,180,4.37,0.147265113,0.001223796
7,32230,17,31,17031,824006,17031824006,4283,718.6,3867,648.8,3633,54,11,92,0,204,32,45,1878,1989,164,201,311,341,198,258,408,785,642,368,140,51,45.7,45.7,45.7,1299,2.98,57,96,424,597,12,27,1114,3.25,1376,77,1248,51,5.96,0.214536646,0.001668286
8,32275,17,31,17031,825505,17031825505,5485,2728.9,5525,2748.8,589,4733,10,66,0,125,35,92,2493,3032,308,407,479,470,314,607,737,869,723,345,188,78,37.6,35.9,39,1778,3.04,98,219,441,432,57,272,1408,3.41,1903,125,1541,237,2.01,0.109507436,0.000562024
9,32276,17,31,17031,824117,17031824117,9786,4010.7,9868,4044.3,9000,130,7,477,0,574,140,114,4821,5047,523,594,679,824,609,969,1168,1890,1513,626,373,100,41.4,39.8,42.8,3370,2.93,167,347,1092,1349,37,113,2765,3.29,3435,65,3309,61,2.44,0.11956548,0.000681164
10,32277,17,31,17031,825304,17031825304,3936,4373.3,4056,4506.7,3592,118,3,152,0,308,138,53,1925,2131,211,216,291,314,242,544,429,685,538,287,222,77,40.2,38.1,41.8,1577,2.57,176,255,359,469,31,94,1075,3.17,1647,70,1308,269,0.9,0.067370095,0.000252583
11,32278,17,31,17031,825400,17031825400,5380,1874.6,5419,1888.2,4898,242,8,108,3,307,83,77,2589,2830,314,251,318,275,275,856,677,865,764,379,281,164,41.2,38.5,43.8,2387,2.25,343,528,419,629,46,111,1365,3,2531,144,1788,599,2.87,0.162798414,0.000802042
12,32279,17,31,17031,829901,17031829901,8665,1631.8,8744,1646.7,2706,5539,15,199,5,299,108,172,3953,4791,487,457,601,582,426,991,1050,1259,1274,870,576,171,42.8,39.3,45.6,3458,2.53,291,717,552,946,67,380,2317,3.14,3693,235,3108,350,5.31,0.220957411,0.001484662
13,32280,17,31,17031,830001,17031830001,2011,1933.7,2105,2024,1980,67,4,10,0,89,17,27,944,1161,59,34,39,42,76,153,152,302,378,451,301,118,60.7,56.1,63.3,1144,1.84,175,322,29,335,15,45,576,2.47,1204,60,1082,62,1.04,0.099451801,0.000291105
14,32281,17,31,17031,830003,17031830003,8128,1977.6,7985,1942.8,400,7243,20,80,2,245,102,138,3709,4276,460,573,760,746,426,880,1207,1259,1040,433,160,41,36.3,33.2,38.3,2620,3.05,149,300,710,660,79,401,2112,3.43,2753,133,2396,224,4.11,0.142105301,0.001149087
15,32282,17,31,17031,830008,17031830008,4447,968.8,4537,988.5,428,3899,6,43,3,128,40,118,2116,2421,267,338,426,414,255,447,753,730,553,227,102,25,36.7,33.8,38.3,1504,3.02,91,171,442,367,46,210,1201,3.4,1609,105,1365,139,4.59,0.162116697,0.001281625
