census_name,clean_name,census_place_code,variable,sex,age,estimate
"Alsip village, Illinois",Alsip,01010,P012003,Male,Under 5 years,647
"Alsip village, Illinois",Alsip,01010,P012004,Male,5 to 9 years,653
"Alsip village, Illinois",Alsip,01010,P012005,Male,10 to 14 years,650
"Alsip village, Illinois",Alsip,01010,P012006,Male,15 to 17 years,454
"Alsip village, Illinois",Alsip,01010,P012007,Male,18 and 19 years,248
"Alsip village, Illinois",Alsip,01010,P012008,Male,20 years,119
"Alsip village, Illinois",Alsip,01010,P012009,Male,21 years,127
"Alsip village, Illinois",Alsip,01010,P012010,Male,22 to 24 years,373
"Alsip village, Illinois",Alsip,01010,P012011,Male,25 to 29 years,704
"Alsip village, Illinois",Alsip,01010,P012012,Male,30 to 34 years,685
"Alsip village, Illinois",Alsip,01010,P012013,Male,35 to 39 years,631
"Alsip village, Illinois",Alsip,01010,P012014,Male,40 to 44 years,565
"Alsip village, Illinois",Alsip,01010,P012015,Male,45 to 49 years,681
"Alsip village, Illinois",Alsip,01010,P012016,Male,50 to 54 years,680
"Alsip village, Illinois",Alsip,01010,P012017,Male,55 to 59 years,569
"Alsip village, Illinois",Alsip,01010,P012018,Male,60 and 61 years,212
"Alsip village, Illinois",Alsip,01010,P012019,Male,62 to 64 years,255
"Alsip village, Illinois",Alsip,01010,P012020,Male,65 and 66 years,135
"Alsip village, Illinois",Alsip,01010,P012021,Male,67 to 69 years,164
"Alsip village, Illinois",Alsip,01010,P012022,Male,70 to 74 years,252
"Alsip village, Illinois",Alsip,01010,P012023,Male,75 to 79 years,181
"Alsip village, Illinois",Alsip,01010,P012024,Male,80 to 84 years,108
"Alsip village, Illinois",Alsip,01010,P012025,Male,85 years and over,95
"Alsip village, Illinois",Alsip,01010,P012027,Female,Under 5 years,636
"Alsip village, Illinois",Alsip,01010,P012028,Female,5 to 9 years,617
"Alsip village, Illinois",Alsip,01010,P012029,Female,10 to 14 years,616
"Alsip village, Illinois",Alsip,01010,P012030,Female,15 to 17 years,438
"Alsip village, Illinois",Alsip,01010,P012031,Female,18 and 19 years,237
"Alsip village, Illinois",Alsip,01010,P012032,Female,20 years,97
"Alsip village, Illinois",Alsip,01010,P012033,Female,21 years,119
"Alsip village, Illinois",Alsip,01010,P012034,Female,22 to 24 years,448
"Alsip village, Illinois",Alsip,01010,P012035,Female,25 to 29 years,775
"Alsip village, Illinois",Alsip,01010,P012036,Female,30 to 34 years,744
"Alsip village, Illinois",Alsip,01010,P012037,Female,35 to 39 years,654
"Alsip village, Illinois",Alsip,01010,P012038,Female,40 to 44 years,646
"Alsip village, Illinois",Alsip,01010,P012039,Female,45 to 49 years,772
"Alsip village, Illinois",Alsip,01010,P012040,Female,50 to 54 years,750
"Alsip village, Illinois",Alsip,01010,P012041,Female,55 to 59 years,674
"Alsip village, Illinois",Alsip,01010,P012042,Female,60 and 61 years,239
"Alsip village, Illinois",Alsip,01010,P012043,Female,62 to 64 years,281
"Alsip village, Illinois",Alsip,01010,P012044,Female,65 and 66 years,162
"Alsip village, Illinois",Alsip,01010,P012045,Female,67 to 69 years,232
"Alsip village, Illinois",Alsip,01010,P012046,Female,70 to 74 years,303
"Alsip village, Illinois",Alsip,01010,P012047,Female,75 to 79 years,245
"Alsip village, Illinois",Alsip,01010,P012048,Female,80 to 84 years,210
"Alsip village, Illinois",Alsip,01010,P012049,Female,85 years and over,194
"Arlington Heights village, Illinois",Arlington Heights,02154,P012003,Male,Under 5 years,2124
"Arlington Heights village, Illinois",Arlington Heights,02154,P012004,Male,5 to 9 years,2390
"Arlington Heights village, Illinois",Arlington Heights,02154,P012005,Male,10 to 14 years,2427
"Arlington Heights village, Illinois",Arlington Heights,02154,P012006,Male,15 to 17 years,1500
"Arlington Heights village, Illinois",Arlington Heights,02154,P012007,Male,18 and 19 years,739
"Arlington Heights village, Illinois",Arlington Heights,02154,P012008,Male,20 years,260
"Arlington Heights village, Illinois",Arlington Heights,02154,P012009,Male,21 years,277
"Arlington Heights village, Illinois",Arlington Heights,02154,P012010,Male,22 to 24 years,1178
"Arlington Heights village, Illinois",Arlington Heights,02154,P012011,Male,25 to 29 years,2159
