name,variable,sex,age,race_ethnicity,estimate
"Chicago city, Illinois",PCT012H003,Male,Under 1 year,HISPANIC OR LATINO,7536
"Cook County, Illinois",PCT012H003,Male,Under 1 year,HISPANIC OR LATINO,12407
"Suburban Cook County, Illinois",PCT012H003,Male,Under 1 year,HISPANIC OR LATINO,4871
CCDPH jurisdiction,PCT012H003,Male,Under 1 year,HISPANIC OR LATINO,4593
"Chicago city, Illinois",PCT012H004,Male,1 year,HISPANIC OR LATINO,7583
"Cook County, Illinois",PCT012H004,Male,1 year,HISPANIC OR LATINO,12486
"Suburban Cook County, Illinois",PCT012H004,Male,1 year,HISPANIC OR LATINO,4903
CCDPH jurisdiction,PCT012H004,Male,1 year,HISPANIC OR LATINO,4617
"Chicago city, Illinois",PCT012H005,Male,2 years,HISPANIC OR LATINO,7715
"Cook County, Illinois",PCT012H005,Male,2 years,HISPANIC OR LATINO,12847
"Suburban Cook County, Illinois",PCT012H005,Male,2 years,HISPANIC OR LATINO,5132
CCDPH jurisdiction,PCT012H005,Male,2 years,HISPANIC OR LATINO,4827
"Chicago city, Illinois",PCT012H006,Male,3 years,HISPANIC OR LATINO,7740
"Cook County, Illinois",PCT012H006,Male,3 years,HISPANIC OR LATINO,12905
"Suburban Cook County, Illinois",PCT012H006,Male,3 years,HISPANIC OR LATINO,5165
CCDPH jurisdiction,PCT012H006,Male,3 years,HISPANIC OR LATINO,4882
"Chicago city, Illinois",PCT012H007,Male,4 years,HISPANIC OR LATINO,7625
"Cook County, Illinois",PCT012H007,Male,4 years,HISPANIC OR LATINO,12846
"Suburban Cook County, Illinois",PCT012H007,Male,4 years,HISPANIC OR LATINO,5221
CCDPH jurisdiction,PCT012H007,Male,4 years,HISPANIC OR LATINO,4914
"Chicago city, Illinois",PCT012H008,Male,5 years,HISPANIC OR LATINO,7491
"Cook County, Illinois",PCT012H008,Male,5 years,HISPANIC OR LATINO,12318
"Suburban Cook County, Illinois",PCT012H008,Male,5 years,HISPANIC OR LATINO,4827
CCDPH jurisdiction,PCT012H008,Male,5 years,HISPANIC OR LATINO,4554
"Chicago city, Illinois",PCT012H009,Male,6 years,HISPANIC OR LATINO,7440
"Cook County, Illinois",PCT012H009,Male,6 years,HISPANIC OR LATINO,12606
"Suburban Cook County, Illinois",PCT012H009,Male,6 years,HISPANIC OR LATINO,5166
CCDPH jurisdiction,PCT012H009,Male,6 years,HISPANIC OR LATINO,4883
"Chicago city, Illinois",PCT012H010,Male,7 years,HISPANIC OR LATINO,7375
"Cook County, Illinois",PCT012H010,Male,7 years,HISPANIC OR LATINO,12317
"Suburban Cook County, Illinois",PCT012H010,Male,7 years,HISPANIC OR LATINO,4942
CCDPH jurisdiction,PCT012H010,Male,7 years,HISPANIC OR LATINO,4667
"Chicago city, Illinois",PCT012H011,Male,8 years,HISPANIC OR LATINO,7080
"Cook County, Illinois",PCT012H011,Male,8 years,HISPANIC OR LATINO,11959
"Suburban Cook County, Illinois",PCT012H011,Male,8 years,HISPANIC OR LATINO,4879
CCDPH jurisdiction,PCT012H011,Male,8 years,HISPANIC OR LATINO,4620
"Chicago city, Illinois",PCT012H012,Male,9 years,HISPANIC OR LATINO,7132
"Cook County, Illinois",PCT012H012,Male,9 years,HISPANIC OR LATINO,11939
"Suburban Cook County, Illinois",PCT012H012,Male,9 years,HISPANIC OR LATINO,4807
CCDPH jurisdiction,PCT012H012,Male,9 years,HISPANIC OR LATINO,4538
"Chicago city, Illinois",PCT012H013,Male,10 years,HISPANIC OR LATINO,7182
"Cook County, Illinois",PCT012H013,Male,10 years,HISPANIC OR LATINO,11918
"Suburban Cook County, Illinois",PCT012H013,Male,10 years,HISPANIC OR LATINO,4736
CCDPH jurisdiction,PCT012H013,Male,10 years,HISPANIC OR LATINO,4452
"Chicago city, Illinois",PCT012H014,Male,11 years,HISPANIC OR LATINO,6744
"Cook County, Illinois",PCT012H014,Male,11 years,HISPANIC OR LATINO,11347
"Suburban Cook County, Illinois",PCT012H014,Male,11 years,HISPANIC OR LATINO,4603
CCDPH jurisdiction,PCT012H014,Male,11 years,HISPANIC OR LATINO,4327
"Chicago city, Illinois",PCT012H015,Male,12 years,HISPANIC OR LATINO,6856
"Cook County, Illinois",PCT012H015,Male,12 years,HISPANIC OR LATINO,11535
"Suburban Cook County, Illinois",PCT012H015,Male,12 years,HISPANIC OR LATINO,4679
CCDPH jurisdiction,PCT012H015,Male,12 years,HISPANIC OR LATINO,4399
"Chicago city, Illinois",PCT012H016,Male,13 years,HISPANIC OR LATINO,6770
"Cook County, Illinois",PCT012H016,Male,13 years,HISPANIC OR LATINO,11266
"Suburban Cook County, Illinois",PCT012H016,Male,13 years,HISPANIC OR LATINO,4496
CCDPH jurisdiction,PCT012H016,Male,13 years,HISPANIC OR LATINO,4244
"Chicago city, Illinois",PCT012H017,Male,14 years,HISPANIC OR LATINO,6871
"Cook County, Illinois",PCT012H017,Male,14 years,HISPANIC OR LATINO,11484
"Suburban Cook County, Illinois",PCT012H017,Male,14 years,HISPANIC OR LATINO,4613
CCDPH jurisdiction,PCT012H017,Male,14 years,HISPANIC OR LATINO,4335
"Chicago city, Illinois",PCT012H018,Male,15 years,HISPANIC OR LATINO,6723
"Cook County, Illinois",PCT012H018,Male,15 years,HISPANIC OR LATINO,11184
"Suburban Cook County, Illinois",PCT012H018,Male,15 years,HISPANIC OR LATINO,4461
CCDPH jurisdiction,PCT012H018,Male,15 years,HISPANIC OR LATINO,4204
"Chicago city, Illinois",PCT012H019,Male,16 years,HISPANIC OR LATINO,6725
"Cook County, Illinois",PCT012H019,Male,16 years,HISPANIC OR LATINO,11172
"Suburban Cook County, Illinois",PCT012H019,Male,16 years,HISPANIC OR LATINO,4447
CCDPH jurisdiction,PCT012H019,Male,16 years,HISPANIC OR LATINO,4164
"Chicago city, Illinois",PCT012H020,Male,17 years,HISPANIC OR LATINO,6797
"Cook County, Illinois",PCT012H020,Male,17 years,HISPANIC OR LATINO,11201
"Suburban Cook County, Illinois",PCT012H020,Male,17 years,HISPANIC OR LATINO,4404
CCDPH jurisdiction,PCT012H020,Male,17 years,HISPANIC OR LATINO,4141
"Chicago city, Illinois",PCT012H021,Male,18 years,HISPANIC OR LATINO,6724
"Cook County, Illinois",PCT012H021,Male,18 years,HISPANIC OR LATINO,11047
"Suburban Cook County, Illinois",PCT012H021,Male,18 years,HISPANIC OR LATINO,4323
CCDPH jurisdiction,PCT012H021,Male,18 years,HISPANIC OR LATINO,4042
"Chicago city, Illinois",PCT012H022,Male,19 years,HISPANIC OR LATINO,6694
"Cook County, Illinois",PCT012H022,Male,19 years,HISPANIC OR LATINO,10872
"Suburban Cook County, Illinois",PCT012H022,Male,19 years,HISPANIC OR LATINO,4178
CCDPH jurisdiction,PCT012H022,Male,19 years,HISPANIC OR LATINO,3892
"Chicago city, Illinois",PCT012H023,Male,20 years,HISPANIC OR LATINO,6946
"Cook County, Illinois",PCT012H023,Male,20 years,HISPANIC OR LATINO,10804
"Suburban Cook County, Illinois",PCT012H023,Male,20 years,HISPANIC OR LATINO,3858
CCDPH jurisdiction,PCT012H023,Male,20 years,HISPANIC OR LATINO,3622
"Chicago city, Illinois",PCT012H024,Male,21 years,HISPANIC OR LATINO,6808
"Cook County, Illinois",PCT012H024,Male,21 years,HISPANIC OR LATINO,10701
"Suburban Cook County, Illinois",PCT012H024,Male,21 years,HISPANIC OR LATINO,3893
CCDPH jurisdiction,PCT012H024,Male,21 years,HISPANIC OR LATINO,3629
"Chicago city, Illinois",PCT012H025,Male,22 years,HISPANIC OR LATINO,6944
"Cook County, Illinois",PCT012H025,Male,22 years,HISPANIC OR LATINO,10919
"Suburban Cook County, Illinois",PCT012H025,Male,22 years,HISPANIC OR LATINO,3975
CCDPH jurisdiction,PCT012H025,Male,22 years,HISPANIC OR LATINO,3749
"Chicago city, Illinois",PCT012H026,Male,23 years,HISPANIC OR LATINO,7086
"Cook County, Illinois",PCT012H026,Male,23 years,HISPANIC OR LATINO,11015
"Suburban Cook County, Illinois",PCT012H026,Male,23 years,HISPANIC OR LATINO,3929
CCDPH jurisdiction,PCT012H026,Male,23 years,HISPANIC OR LATINO,3709
"Chicago city, Illinois",PCT012H027,Male,24 years,HISPANIC OR LATINO,7246
"Cook County, Illinois",PCT012H027,Male,24 years,HISPANIC OR LATINO,11460
"Suburban Cook County, Illinois",PCT012H027,Male,24 years,HISPANIC OR LATINO,4214
CCDPH jurisdiction,PCT012H027,Male,24 years,HISPANIC OR LATINO,3979
"Chicago city, Illinois",PCT012H028,Male,25 years,HISPANIC OR LATINO,7416
"Cook County, Illinois",PCT012H028,Male,25 years,HISPANIC OR LATINO,11463
"Suburban Cook County, Illinois",PCT012H028,Male,25 years,HISPANIC OR LATINO,4047
CCDPH jurisdiction,PCT012H028,Male,25 years,HISPANIC OR LATINO,3785
"Chicago city, Illinois",PCT012H029,Male,26 years,HISPANIC OR LATINO,7390
"Cook County, Illinois",PCT012H029,Male,26 years,HISPANIC OR LATINO,11397
"Suburban Cook County, Illinois",PCT012H029,Male,26 years,HISPANIC OR LATINO,4007
CCDPH jurisdiction,PCT012H029,Male,26 years,HISPANIC OR LATINO,3805
"Chicago city, Illinois",PCT012H030,Male,27 years,HISPANIC OR LATINO,7724
"Cook County, Illinois",PCT012H030,Male,27 years,HISPANIC OR LATINO,11939
"Suburban Cook County, Illinois",PCT012H030,Male,27 years,HISPANIC OR LATINO,4215
CCDPH jurisdiction,PCT012H030,Male,27 years,HISPANIC OR LATINO,3952
"Chicago city, Illinois",PCT012H031,Male,28 years,HISPANIC OR LATINO,7545
"Cook County, Illinois",PCT012H031,Male,28 years,HISPANIC OR LATINO,11883
"Suburban Cook County, Illinois",PCT012H031,Male,28 years,HISPANIC OR LATINO,4338
CCDPH jurisdiction,PCT012H031,Male,28 years,HISPANIC OR LATINO,4106
"Chicago city, Illinois",PCT012H032,Male,29 years,HISPANIC OR LATINO,7730
"Cook County, Illinois",PCT012H032,Male,29 years,HISPANIC OR LATINO,11987
"Suburban Cook County, Illinois",PCT012H032,Male,29 years,HISPANIC OR LATINO,4257
CCDPH jurisdiction,PCT012H032,Male,29 years,HISPANIC OR LATINO,4013
"Chicago city, Illinois",PCT012H033,Male,30 years,HISPANIC OR LATINO,7915
"Cook County, Illinois",PCT012H033,Male,30 years,HISPANIC OR LATINO,12456
"Suburban Cook County, Illinois",PCT012H033,Male,30 years,HISPANIC OR LATINO,4541
CCDPH jurisdiction,PCT012H033,Male,30 years,HISPANIC OR LATINO,4281
"Chicago city, Illinois",PCT012H034,Male,31 years,HISPANIC OR LATINO,6928
"Cook County, Illinois",PCT012H034,Male,31 years,HISPANIC OR LATINO,11041
"Suburban Cook County, Illinois",PCT012H034,Male,31 years,HISPANIC OR LATINO,4113
CCDPH jurisdiction,PCT012H034,Male,31 years,HISPANIC OR LATINO,3869
"Chicago city, Illinois",PCT012H035,Male,32 years,HISPANIC OR LATINO,7449
"Cook County, Illinois",PCT012H035,Male,32 years,HISPANIC OR LATINO,11696
"Suburban Cook County, Illinois",PCT012H035,Male,32 years,HISPANIC OR LATINO,4247
CCDPH jurisdiction,PCT012H035,Male,32 years,HISPANIC OR LATINO,3988
"Chicago city, Illinois",PCT012H036,Male,33 years,HISPANIC OR LATINO,7159
"Cook County, Illinois",PCT012H036,Male,33 years,HISPANIC OR LATINO,11404
"Suburban Cook County, Illinois",PCT012H036,Male,33 years,HISPANIC OR LATINO,4245
CCDPH jurisdiction,PCT012H036,Male,33 years,HISPANIC OR LATINO,3976
"Chicago city, Illinois",PCT012H037,Male,34 years,HISPANIC OR LATINO,6981
