name,label,concept,sex,age,ccdph_population_2010
PCT003003,Total!!Male!!Under 1 year,SEX BY AGE,Male,Under 1 year,13979
PCT003004,Total!!Male!!1 year,SEX BY AGE,Male,1 year,14177
PCT003005,Total!!Male!!2 years,SEX BY AGE,Male,2 years,14726
PCT003006,Total!!Male!!3 years,SEX BY AGE,Male,3 years,14945
PCT003007,Total!!Male!!4 years,SEX BY AGE,Male,4 years,15164
PCT003008,Total!!Male!!5 years,SEX BY AGE,Male,5 years,15158
PCT003009,Total!!Male!!6 years,SEX BY AGE,Male,6 years,15655
PCT003010,Total!!Male!!7 years,SEX BY AGE,Male,7 years,15363
PCT003011,Total!!Male!!8 years,SEX BY AGE,Male,8 years,15480
PCT003012,Total!!Male!!9 years,SEX BY AGE,Male,9 years,15710
PCT003013,Total!!Male!!10 years,SEX BY AGE,Male,10 years,16110
PCT003014,Total!!Male!!11 years,SEX BY AGE,Male,11 years,15935
PCT003015,Total!!Male!!12 years,SEX BY AGE,Male,12 years,16424
PCT003016,Total!!Male!!13 years,SEX BY AGE,Male,13 years,16647
PCT003017,Total!!Male!!14 years,SEX BY AGE,Male,14 years,17287
PCT003018,Total!!Male!!15 years,SEX BY AGE,Male,15 years,17816
PCT003019,Total!!Male!!16 years,SEX BY AGE,Male,16 years,17758
PCT003020,Total!!Male!!17 years,SEX BY AGE,Male,17 years,18144
PCT003021,Total!!Male!!18 years,SEX BY AGE,Male,18 years,16155
PCT003022,Total!!Male!!19 years,SEX BY AGE,Male,19 years,13526
PCT003023,Total!!Male!!20 years,SEX BY AGE,Male,20 years,13236
PCT003024,Total!!Male!!21 years,SEX BY AGE,Male,21 years,12647
PCT003025,Total!!Male!!22 years,SEX BY AGE,Male,22 years,13335
PCT003026,Total!!Male!!23 years,SEX BY AGE,Male,23 years,14015
PCT003027,Total!!Male!!24 years,SEX BY AGE,Male,24 years,14593
PCT003028,Total!!Male!!25 years,SEX BY AGE,Male,25 years,14513
PCT003029,Total!!Male!!26 years,SEX BY AGE,Male,26 years,14117
PCT003030,Total!!Male!!27 years,SEX BY AGE,Male,27 years,14406
PCT003031,Total!!Male!!28 years,SEX BY AGE,Male,28 years,14272
PCT003032,Total!!Male!!29 years,SEX BY AGE,Male,29 years,14344
PCT003033,Total!!Male!!30 years,SEX BY AGE,Male,30 years,14882
PCT003034,Total!!Male!!31 years,SEX BY AGE,Male,31 years,13770
PCT003035,Total!!Male!!32 years,SEX BY AGE,Male,32 years,13877
PCT003036,Total!!Male!!33 years,SEX BY AGE,Male,33 years,13782
PCT003037,Total!!Male!!34 years,SEX BY AGE,Male,34 years,13896
PCT003038,Total!!Male!!35 years,SEX BY AGE,Male,35 years,14229
PCT003039,Total!!Male!!36 years,SEX BY AGE,Male,36 years,13554
PCT003040,Total!!Male!!37 years,SEX BY AGE,Male,37 years,13953
PCT003041,Total!!Male!!38 years,SEX BY AGE,Male,38 years,14863
PCT003042,Total!!Male!!39 years,SEX BY AGE,Male,39 years,15136
PCT003043,Total!!Male!!40 years,SEX BY AGE,Male,40 years,15380
