Municipality,CensusPlaceCode,Population2010,Population2010_Over12,PercentOver12
Alsip,01010,19277,16218,84.13
Arlington Heights,02154,75101,64403,85.76
Barrington,03844,5631,4682,83.15
Barrington Hills,03883,2168,1897,87.5
Bartlett,04013,16797,13661,81.33
Bedford Park,04572,580,491,84.66
Bellwood,04975,19071,15944,83.6
Berkeley,05404,5209,4421,84.87
Berwyn,05573,56657,46014,81.22
Blue Island,06704,23706,18940,79.9
Bridgeview,08225,16446,13608,82.74
Broadview,08446,7932,6795,85.67
Brookfield,08576,18978,16137,85.03
Buffalo Grove,09447,13644,11999,87.94
Burbank,09642,28925,24412,84.4
Burnham,09798,4206,3531,83.95
Burr Ridge,09980,3840,3397,88.46
Calumet City,10487,37042,30544,82.46
Calumet Park,10513,7835,6569,83.84
Chicago,14000,2695598,2277898,84.5
Chicago Heights,14026,30276,24089,79.56
Chicago Ridge,14065,14305,11957,83.59
Cicero,14351,83891,64464,76.84
Country Club Hills,16691,16541,13876,83.89
Countryside,16873,5895,5232,88.75
Crestwood,17497,10950,9795,89.45
Des Plaines,19642,58364,50917,87.24
Dixmoor,20149,3644,2862,78.54
Dolton,20292,23153,19307,83.39
East Hazel Crest,21904,1543,1298,84.12
Elgin,23074,24032,19311,80.36
Elk Grove Village,23256,33127,29079,87.78
Elmwood Park,23724,24883,21621,86.89
Evanston,24582,74486,64592,86.72
Evergreen Park,24634,19852,16810,84.68
Flossmoor,26571,9464,8187,86.51
Ford Heights,26710,2763,2153,77.92
Forest Park,26935,14167,12459,87.94
Forest View,26987,698,604,86.53
Franklin Park,27702,18333,15373,83.85
Glencoe,29652,8723,7106,81.46
Glenview,29938,44692,37629,84.2
Glenwood,30029,8969,7708,85.94
Golf,30328,500,391,78.2
Hanover Park,32746,20636,16463,79.78
Harvey,33383,25282,20097,79.49
Harwood Heights,33435,8612,7701,89.42
Hazel Crest,33695,14100,11796,83.66
Hickory Hills,34514,14049,12067,85.89
Hillside,35086,8157,6951,85.22
Hinsdale,35307,2227,1780,79.93
Hodgkins,35385,1897,1571,82.81
Hoffman Estates,35411,51895,43466,83.76
Hometown,35866,4349,3750,86.23
Homewood,35879,19323,16640,86.11
Indian Head Park,37257,3809,3477,91.28
Inverness,37608,7399,6514,88.04
Justice,38830,12926,10568,81.76
Kenilworth,39519,2513,2008,79.9
La Grange,40767,15550,12497,80.37
La Grange Park,40793,13579,11471,84.48
Lansing,42028,28331,23975,84.62
Lemont,42795,15987,13592,85.02
Lincolnwood,43744,12590,10959,87.05
Lynwood,45421,9007,7542,83.73
Lyons,45434,10729,8948,83.4
Markham,47007,12508,10279,82.18
Matteson,47540,19009,15929,83.8
Maywood,47774,24090,19747,81.97
McCook,45564,228,205,89.91
Melrose Park,48242,25411,19980,78.63
Merrionette Park,48554,1900,1654,87.05
Midlothian,48892,14819,12235,82.56
Morton Grove,50647,23270,20457,87.91
Mount Prospect,51089,54167,45967,84.86
Niles,53000,29803,26689,89.55
Norridge,53377,14572,13082,89.77
North Riverside,54144,6672,5787,86.74
Northbrook,53481,33170,28517,85.97
Northfield,53663,5420,4650,85.79
Northlake,53871,12323,10358,84.05
Oak Forest,54638,27962,23720,84.83
Oak Lawn,54820,56690,48894,86.25
Oak Park,54885,51878,43590,84.02
Olympia Fields,55938,4988,4473,89.68
Orland Hills,56627,7149,5945,83.16
Orland Park,56640,56583,49387,87.28
Palatine,57225,68557,57715,84.19
Palos Heights,57381,12515,11241,89.82
Palos Hills,57394,17484,15443,88.33
Palos Park,57407,4847,4352,89.79
Park Forest,57732,18672,15753,84.37
Park Ridge,57875,37480,31962,85.28
Phoenix,59572,1964,1647,83.86
Posen,61314,5987,4730,79
Prospect Heights,62016,16256,13673,84.11
Richton Park,63706,13646,11355,83.21
River Forest,64304,11172,9477,84.83
River Grove,64343,10227,8893,86.96
Riverdale,64278,13549,10923,80.62
Riverside,64421,8875,7382,83.18
Robbins,64616,5337,4405,82.54
Rolling Meadows,65338,24099,20369,84.52
Roselle,65806,3723,3177,85.33
Rosemont,65819,4202,3445,81.98
Sauk Village,67769,10506,8320,79.19
Schaumburg,68003,74227,64229,86.53
Schiller Park,68081,11793,10095,85.6
Skokie,70122,64784,55984,86.42
South Barrington,70564,4565,3804,83.33
South Chicago Heights,70629,4139,3417,82.56
South Holland,70850,22030,18854,85.58
Steger,72520,4103,3490,85.06
Stickney,72676,6786,5775,85.1
Stone Park,72923,4946,3742,75.66
Streamwood,73157,39858,32754,82.18
Summit,73638,11054,8744,79.1
Thornton,75185,2338,2009,85.93
Tinley Park,75484,49236,42625,86.57
University Park,76935,273,183,67.03
Westchester,80047,16718,14427,86.3
Western Springs,80242,12975,10409,80.22
Wheeling,81087,37642,32007,85.03
Willow Springs,82049,5524,4811,87.09
Wilmette,82075,27087,22299,82.32
Winnetka,82530,12187,9745,79.96
Worth,83518,10789,9215,85.41
