census_name,clean_name,census_place_code,variable,ethnicity,race,estimate
"Alsip village, Illinois",Alsip,01010,P005003,Not Hispanic or Latino,White alone,11272
"Alsip village, Illinois",Alsip,01010,P005004,Not Hispanic or Latino,Black or African American alone,3451
"Alsip village, Illinois",Alsip,01010,P005005,Not Hispanic or Latino,American Indian and Alaska Native alone,18
"Alsip village, Illinois",Alsip,01010,P005006,Not Hispanic or Latino,Asian alone,434
"Alsip village, Illinois",Alsip,01010,P005007,Not Hispanic or Latino,Native Hawaiian and Other Pacific Islander alone,5
"Alsip village, Illinois",Alsip,01010,P005008,Not Hispanic or Latino,Some Other Race alone,26
"Alsip village, Illinois",Alsip,01010,P005009,Not Hispanic or Latino,Two or More Races,229
"Alsip village, Illinois",Alsip,01010,P005011,Hispanic or Latino,White alone,1833
"Alsip village, Illinois",Alsip,01010,P005012,Hispanic or Latino,Black or African American alone,44
"Alsip village, Illinois",Alsip,01010,P005013,Hispanic or Latino,American Indian and Alaska Native alone,53
"Alsip village, Illinois",Alsip,01010,P005014,Hispanic or Latino,Asian alone,6
"Alsip village, Illinois",Alsip,01010,P005015,Hispanic or Latino,Native Hawaiian and Other Pacific Islander alone,16
"Alsip village, Illinois",Alsip,01010,P005016,Hispanic or Latino,Some Other Race alone,1635
"Alsip village, Illinois",Alsip,01010,P005017,Hispanic or Latino,Two or More Races,255
"Arlington Heights village, Illinois",Arlington Heights,02154,P005003,Not Hispanic or Latino,White alone,63532
"Arlington Heights village, Illinois",Arlington Heights,02154,P005004,Not Hispanic or Latino,Black or African American alone,936
"Arlington Heights village, Illinois",Arlington Heights,02154,P005005,Not Hispanic or Latino,American Indian and Alaska Native alone,48
"Arlington Heights village, Illinois",Arlington Heights,02154,P005006,Not Hispanic or Latino,Asian alone,5320
"Arlington Heights village, Illinois",Arlington Heights,02154,P005007,Not Hispanic or Latino,Native Hawaiian and Other Pacific Islander alone,7
"Arlington Heights village, Illinois",Arlington Heights,02154,P005008,Not Hispanic or Latino,Some Other Race alone,72
