geoid_zcta,variable,sex,age,total_pop,pop_in_cook
60120,P12_003N,Male,Under 5 years,1728,833
60120,P12_004N,Male,5 to 9 years,1756,861
60120,P12_005N,Male,10 to 14 years,1930,929
60120,P12_006N,Male,15 to 17 years,1195,585
60120,P12_007N,Male,18 and 19 years,805,368
60120,P12_008N,Male,20 years,427,174
60120,P12_009N,Male,21 years,385,169
60120,P12_010N,Male,22 to 24 years,1103,500
60120,P12_011N,Male,25 to 29 years,1984,943
60120,P12_012N,Male,30 to 34 years,1815,884
60120,P12_013N,Male,35 to 39 years,1765,879
60120,P12_014N,Male,40 to 44 years,1726,858
60120,P12_015N,Male,45 to 49 years,1789,912
60120,P12_016N,Male,50 to 54 years,1725,883
60120,P12_017N,Male,55 to 59 years,1565,805
60120,P12_018N,Male,60 and 61 years,602,299
60120,P12_019N,Male,62 to 64 years,748,407
60120,P12_020N,Male,65 and 66 years,487,278
60120,P12_021N,Male,67 to 69 years,558,317
60120,P12_022N,Male,70 to 74 years,712,430
60120,P12_023N,Male,75 to 79 years,345,222
60120,P12_024N,Male,80 to 84 years,206,110
60120,P12_025N,Male,85 years and over,165,103
60120,P12_027N,Female,Under 5 years,1656,822
60120,P12_028N,Female,5 to 9 years,1742,792
60120,P12_029N,Female,10 to 14 years,1967,909
60120,P12_030N,Female,15 to 17 years,1120,557
60120,P12_031N,Female,18 and 19 years,722,335
60120,P12_032N,Female,20 years,405,187
60120,P12_033N,Female,21 years,357,174
60120,P12_034N,Female,22 to 24 years,1163,556
60120,P12_035N,Female,25 to 29 years,1801,898
60120,P12_036N,Female,30 to 34 years,1690,856
60120,P12_037N,Female,35 to 39 years,1720,851
60120,P12_038N,Female,40 to 44 years,1753,904
60120,P12_039N,Female,45 to 49 years,1712,895
60120,P12_040N,Female,50 to 54 years,1603,864
60120,P12_041N,Female,55 to 59 years,1569,862
60120,P12_042N,Female,60 and 61 years,585,352
60120,P12_043N,Female,62 to 64 years,810,465
60120,P12_044N,Female,65 and 66 years,469,265
60120,P12_045N,Female,67 to 69 years,624,360
60120,P12_046N,Female,70 to 74 years,766,476
60120,P12_047N,Female,75 to 79 years,485,293
60120,P12_048N,Female,80 to 84 years,259,165
60120,P12_049N,Female,85 years and over,300,185
60126,P12_003N,Male,Under 5 years,1432,12
60126,P12_004N,Male,5 to 9 years,1738,10
60126,P12_005N,Male,10 to 14 years,1843,9
60126,P12_006N,Male,15 to 17 years,1216,7
60126,P12_007N,Male,18 and 19 years,745,1
60126,P12_008N,Male,20 years,358,1
60126,P12_009N,Male,21 years,355,0
60126,P12_010N,Male,22 to 24 years,777,8
60126,P12_011N,Male,25 to 29 years,1010,11
60126,P12_012N,Male,30 to 34 years,1092,9
60126,P12_013N,Male,35 to 39 years,1392,12
60126,P12_014N,Male,40 to 44 years,1589,13
60126,P12_015N,Male,45 to 49 years,1568,12
60126,P12_016N,Male,50 to 54 years,1685,9
60126,P12_017N,Male,55 to 59 years,1641,15
60126,P12_018N,Male,60 and 61 years,657,4
60126,P12_019N,Male,62 to 64 years,872,16
60126,P12_020N,Male,65 and 66 years,481,1
60126,P12_021N,Male,67 to 69 years,702,8
60126,P12_022N,Male,70 to 74 years,892,10
60126,P12_023N,Male,75 to 79 years,621,4
60126,P12_024N,Male,80 to 84 years,406,1
60126,P12_025N,Male,85 years and over,435,0
60126,P12_027N,Female,Under 5 years,1458,6
60126,P12_028N,Female,5 to 9 years,1551,7
60126,P12_029N,Female,10 to 14 years,1683,9
60126,P12_030N,Female,15 to 17 years,1101,2
60126,P12_031N,Female,18 and 19 years,750,1
60126,P12_032N,Female,20 years,349,0
60126,P12_033N,Female,21 years,383,0
60126,P12_034N,Female,22 to 24 years,795,7
60126,P12_035N,Female,25 to 29 years,928,13
60126,P12_036N,Female,30 to 34 years,1165,7
60126,P12_037N,Female,35 to 39 years,1563,11
60126,P12_038N,Female,40 to 44 years,1638,11
60126,P12_039N,Female,45 to 49 years,1672,5
60126,P12_040N,Female,50 to 54 years,1790,6
60126,P12_041N,Female,55 to 59 years,1718,13
60126,P12_042N,Female,60 and 61 years,703,7
60126,P12_043N,Female,62 to 64 years,842,10
60126,P12_044N,Female,65 and 66 years,544,6
60126,P12_045N,Female,67 to 69 years,701,10
60126,P12_046N,Female,70 to 74 years,974,2
60126,P12_047N,Female,75 to 79 years,838,2
60126,P12_048N,Female,80 to 84 years,639,3
60126,P12_049N,Female,85 years and over,855,2
60130,P12_003N,Male,Under 5 years,323,323
60130,P12_004N,Male,5 to 9 years,248,248
60130,P12_005N,Male,10 to 14 years,236,236
60130,P12_006N,Male,15 to 17 years,126,126
60130,P12_007N,Male,18 and 19 years,81,81
60130,P12_008N,Male,20 years,53,53
60130,P12_009N,Male,21 years,49,49
60130,P12_010N,Male,22 to 24 years,250,250
60130,P12_011N,Male,25 to 29 years,667,667
60130,P12_012N,Male,30 to 34 years,736,736
60130,P12_013N,Male,35 to 39 years,582,582
60130,P12_014N,Male,40 to 44 years,460,460
60130,P12_015N,Male,45 to 49 years,427,427
60130,P12_016N,Male,50 to 54 years,442,442
60130,P12_017N,Male,55 to 59 years,536,536
60130,P12_018N,Male,60 and 61 years,185,185
60130,P12_019N,Male,62 to 64 years,307,307
60130,P12_020N,Male,65 and 66 years,185,185
60130,P12_021N,Male,67 to 69 years,245,245
60130,P12_022N,Male,70 to 74 years,309,309
60130,P12_023N,Male,75 to 79 years,156,156
60130,P12_024N,Male,80 to 84 years,80,80
60130,P12_025N,Male,85 years and over,80,80
60130,P12_027N,Female,Under 5 years,329,329
60130,P12_028N,Female,5 to 9 years,231,231
60130,P12_029N,Female,10 to 14 years,217,217
60130,P12_030N,Female,15 to 17 years,122,122
