census_name,clean_name,census_place_code,race_ethnicity,population
"Cook County (part), Alsip village, Illinois",Alsip,01010,Hispanic/Latino,5056
"Cook County (part), Alsip village, Illinois",Alsip,01010,Non-Hispanic Asian,359
"Cook County (part), Alsip village, Illinois",Alsip,01010,Non-Hispanic Black,4235
"Cook County (part), Alsip village, Illinois",Alsip,01010,Non-Hispanic Multiracial,452
"Cook County (part), Alsip village, Illinois",Alsip,01010,Non-Hispanic Other,66
"Cook County (part), Alsip village, Illinois",Alsip,01010,Non-Hispanic White,8895
"Cook County (part), Arlington Heights village, Illinois",Arlington Heights,02154,Hispanic/Latino,5388
"Cook County (part), Arlington Heights village, Illinois",Arlington Heights,02154,Non-Hispanic Asian,8323
"Cook County (part), Arlington Heights village, Illinois",Arlington Heights,02154,Non-Hispanic Black,1195
"Cook County (part), Arlington Heights village, Illinois",Arlington Heights,02154,Non-Hispanic Multiracial,2160
"Cook County (part), Arlington Heights village, Illinois",Arlington Heights,02154,Non-Hispanic Other,277
"Cook County (part), Arlington Heights village, Illinois",Arlington Heights,02154,Non-Hispanic White,60333
"Cook County (part), Barrington Hills village, Illinois",Barrington Hills,03883,Hispanic/Latino,112
"Cook County (part), Barrington Hills village, Illinois",Barrington Hills,03883,Non-Hispanic Asian,241
"Cook County (part), Barrington Hills village, Illinois",Barrington Hills,03883,Non-Hispanic Black,15
"Cook County (part), Barrington Hills village, Illinois",Barrington Hills,03883,Non-Hispanic Multiracial,50
"Cook County (part), Barrington Hills village, Illinois",Barrington Hills,03883,Non-Hispanic Other,13
"Cook County (part), Barrington Hills village, Illinois",Barrington Hills,03883,Non-Hispanic White,1721
"Cook County (part), Barrington village, Illinois",Barrington,03844,Hispanic/Latino,388
"Cook County (part), Barrington village, Illinois",Barrington,03844,Non-Hispanic Asian,390
"Cook County (part), Barrington village, Illinois",Barrington,03844,Non-Hispanic Black,69
"Cook County (part), Barrington village, Illinois",Barrington,03844,Non-Hispanic Multiracial,198
"Cook County (part), Barrington village, Illinois",Barrington,03844,Non-Hispanic Other,8
"Cook County (part), Barrington village, Illinois",Barrington,03844,Non-Hispanic White,4803
"Cook County (part), Bartlett village, Illinois",Bartlett,04013,Hispanic/Latino,2759
"Cook County (part), Bartlett village, Illinois",Bartlett,04013,Non-Hispanic Asian,3492
"Cook County (part), Bartlett village, Illinois",Bartlett,04013,Non-Hispanic Black,516
"Cook County (part), Bartlett village, Illinois",Bartlett,04013,Non-Hispanic Multiracial,495
"Cook County (part), Bartlett village, Illinois",Bartlett,04013,Non-Hispanic Other,62
"Cook County (part), Bartlett village, Illinois",Bartlett,04013,Non-Hispanic White,9887
"Cook County (part), Bedford Park village, Illinois",Bedford Park,04572,Hispanic/Latino,222
"Cook County (part), Bedford Park village, Illinois",Bedford Park,04572,Non-Hispanic Asian,10
"Cook County (part), Bedford Park village, Illinois",Bedford Park,04572,Non-Hispanic Black,15
"Cook County (part), Bedford Park village, Illinois",Bedford Park,04572,Non-Hispanic Multiracial,21
"Cook County (part), Bedford Park village, Illinois",Bedford Park,04572,Non-Hispanic Other,2
"Cook County (part), Bedford Park village, Illinois",Bedford Park,04572,Non-Hispanic White,332
"Cook County (part), Bellwood village, Illinois",Bellwood,04975,Hispanic/Latino,5034
"Cook County (part), Bellwood village, Illinois",Bellwood,04975,Non-Hispanic Asian,119
"Cook County (part), Bellwood village, Illinois",Bellwood,04975,Non-Hispanic Black,12705
"Cook County (part), Bellwood village, Illinois",Bellwood,04975,Non-Hispanic Multiracial,300
"Cook County (part), Bellwood village, Illinois",Bellwood,04975,Non-Hispanic Other,86
"Cook County (part), Bellwood village, Illinois",Bellwood,04975,Non-Hispanic White,545
"Cook County (part), Bensenville village, Illinois",Bensenville,05248,Hispanic/Latino,0
"Cook County (part), Bensenville village, Illinois",Bensenville,05248,Non-Hispanic Asian,0
"Cook County (part), Bensenville village, Illinois",Bensenville,05248,Non-Hispanic Black,0
"Cook County (part), Bensenville village, Illinois",Bensenville,05248,Non-Hispanic Multiracial,0
"Cook County (part), Bensenville village, Illinois",Bensenville,05248,Non-Hispanic Other,0
"Cook County (part), Bensenville village, Illinois",Bensenville,05248,Non-Hispanic White,0
"Cook County (part), Berkeley village, Illinois",Berkeley,05404,Hispanic/Latino,2008
"Cook County (part), Berkeley village, Illinois",Berkeley,05404,Non-Hispanic Asian,219
"Cook County (part), Berkeley village, Illinois",Berkeley,05404,Non-Hispanic Black,1718
"Cook County (part), Berkeley village, Illinois",Berkeley,05404,Non-Hispanic Multiracial,122
"Cook County (part), Berkeley village, Illinois",Berkeley,05404,Non-Hispanic Other,29
"Cook County (part), Berkeley village, Illinois",Berkeley,05404,Non-Hispanic White,1242
"Cook County (part), Berwyn city, Illinois",Berwyn,05573,Hispanic/Latino,36726
"Cook County (part), Berwyn city, Illinois",Berwyn,05573,Non-Hispanic Asian,1365
"Cook County (part), Berwyn city, Illinois",Berwyn,05573,Non-Hispanic Black,4622
"Cook County (part), Berwyn city, Illinois",Berwyn,05573,Non-Hispanic Multiracial,888
"Cook County (part), Berwyn city, Illinois",Berwyn,05573,Non-Hispanic Other,277
"Cook County (part), Berwyn city, Illinois",Berwyn,05573,Non-Hispanic White,13372
"Cook County (part), Blue Island city, Illinois",Blue Island,06704,Hispanic/Latino,11720
"Cook County (part), Blue Island city, Illinois",Blue Island,06704,Non-Hispanic Asian,86
"Cook County (part), Blue Island city, Illinois",Blue Island,06704,Non-Hispanic Black,6817
"Cook County (part), Blue Island city, Illinois",Blue Island,06704,Non-Hispanic Multiracial,385
"Cook County (part), Blue Island city, Illinois",Blue Island,06704,Non-Hispanic Other,108
"Cook County (part), Blue Island city, Illinois",Blue Island,06704,Non-Hispanic White,3442
"Cook County (part), Bridgeview village, Illinois",Bridgeview,08225,Hispanic/Latino,3991
"Cook County (part), Bridgeview village, Illinois",Bridgeview,08225,Non-Hispanic Asian,564
"Cook County (part), Bridgeview village, Illinois",Bridgeview,08225,Non-Hispanic Black,658
"Cook County (part), Bridgeview village, Illinois",Bridgeview,08225,Non-Hispanic Multiracial,441
"Cook County (part), Bridgeview village, Illinois",Bridgeview,08225,Non-Hispanic Other,86
