fips,tract,sqmi,district,location,total_pop,hisp,nh,nh_onerace,nh_white,nh_black,nh_american,nh_asian,nh_native,nh_other,nh_twoplus
17031020500,20500,0.297630425,outside,chicago,6599,1432,5167,4965,1357,1524,26,2003,1,54,202
17031020301,20301,0.322267852,outside,chicago,5261,324,4937,4827,3827,153,2,759,0,86,110
17031020302,20302,0.246829444,outside,chicago,5010,1021,3989,3834,2488,615,9,675,1,46,155
17031020400,20400,0.215267165,outside,chicago,4435,1037,3398,3222,1593,957,15,641,0,16,176
17031020601,20601,0.224201432,outside,chicago,6699,1117,5582,5361,3019,459,5,1787,0,91,221
17031020602,20602,0.189842313,outside,chicago,4662,1281,3381,3235,1274,478,10,1396,2,75,146
17031020701,20701,0.228490151,outside,chicago,1879,302,1577,1515,968,72,2,467,0,6,62
17031801601,801601,2.497018272,north,ccdph,4734,165,4569,4473,3651,40,3,776,2,1,96
17031801603,801603,3.156530722,north,ccdph,4138,360,3778,3668,1914,196,16,1527,0,15,110
17031801605,801605,1.852984652,north,ccdph,5883,205,5678,5511,4486,31,2,976,0,16,167
17031110502,110502,0.247142137,outside,chicago,3220,818,2402,2284,1768,63,6,423,2,22,118
17031120100,120100,1.067945909,outside,chicago,4402,475,3927,3735,3457,33,1,227,0,17,192
17031120200,120200,0.931194069,outside,chicago,4748,526,4222,4042,3436,37,4,540,0,25,180
17031120300,120300,0.7929925,outside,chicago,6920,701,6219,5938,4630,85,2,1188,1,32,281
17031120400,120400,0.406610866,outside,chicago,3526,945,2581,2462,1865,53,4,521,0,19,119
17031130100,130100,0.710262642,outside,chicago,5205,362,4843,4738,3075,99,2,1514,0,48,105
17031130200,130200,0.802066483,outside,chicago,1403,328,1075,1017,745,16,0,250,0,6,58
17031130300,130300,0.277906933,outside,chicago,5083,1088,3995,3791,1899,311,17,1542,0,22,204
17031140100,140100,0.111318748,outside,chicago,3464,1818,1646,1572,975,169,11,399,0,18,74
17031140200,140200,0.152906638,outside,chicago,5834,2613,3221,3074,1603,423,18,985,11,34,147
17031140301,140301,0.063286345,outside,chicago,2693,1387,1306,1212,315,129,23,727,0,18,94
17031140302,140302,0.160624702,outside,chicago,4060,1687,2373,2251,1179,241,16,777,2,36,122
17031260800,260800,0.126878833,outside,chicago,2271,99,2172,2121,41,2064,2,3,0,11,51
17031260900,260900,0.088049994,outside,chicago,1778,75,1703,1679,50,1603,8,2,3,13,24
17031261000,261000,0.193413926,outside,chicago,2289,137,2152,2113,18,2082,5,5,0,3,39
17031270500,270500,0.216691324,outside,chicago,1619,49,1570,1534,12,1520,2,0,0,0,36
17031271200,271200,0.127122287,outside,chicago,1172,96,1076,1054,30,1016,0,2,0,6,22
17031271300,271300,0.126470246,outside,chicago,1060,58,1002,984,24,951,2,4,2,1,18
17031271400,271400,0.126601519,outside,chicago,1535,127,1408,1369,66,1292,2,8,1,0,39
17031271500,271500,0.062859872,outside,chicago,1373,79,1294,1269,28,1235,3,3,0,0,25
17031271800,271800,0.079519919,outside,chicago,976,63,913,888,15,862,0,7,1,3,25
17031280100,280100,0.236213585,outside,chicago,7421,447,6974,6696,5245,363,9,1050,4,25,278
17031280400,280400,0.193590142,outside,chicago,1231,72,1159,1125,92,991,2,38,0,2,34
17031280800,280800,0.091669194,outside,chicago,1198,66,1132,1111,43,1056,1,8,0,3,21
17031280900,280900,0.044280916,outside,chicago,1077,66,1011,986,132,826,0,24,0,4,25
17031281900,281900,0.169115454,outside,chicago,7031,398,6633,6355,3264,321,13,2699,4,54,278
17031282700,282700,0.16935178,outside,chicago,2558,615,1943,1857,590,929,1,330,0,7,86
17031282800,282800,0.063507007,outside,chicago,1634,423,1211,1149,551,248,1,332,0,17,62
17031283100,283100,0.083628703,outside,chicago,2717,184,2533,2435,806,748,2,861,0,18,98
17031283200,283200,0.091186978,outside,chicago,1670,160,1510,1443,539,565,1,323,0,15,67
17031283800,283800,0.145376566,outside,chicago,3343,392,2951,2856,994,1497,6,347,1,11,95
17031290900,290900,0.384245722,outside,chicago,3975,347,3628,3572,35,3520,3,6,0,8,56
17031291200,291200,0.126986539,outside,chicago,2286,113,2173,2149,15,2125,2,3,0,4,24
17031291600,291600,0.084868228,outside,chicago,874,549,325,302,122,146,1,26,1,6,23
17031292200,292200,0.152112991,outside,chicago,2942,287,2655,2614,88,2504,6,5,0,11,41
17031292400,292400,0.127230107,outside,chicago,2041,188,1853,1826,40,1784,0,1,0,1,27
17031292500,292500,0.380633067,outside,chicago,4057,367,3690,3623,51,3552,6,6,0,8,67
17031300500,300500,0.104181489,outside,chicago,3243,2817,426,407,94,301,0,4,0,8,19
17031560900,560900,0.506958651,outside,chicago,5112,2097,3015,2946,2847,28,9,37,5,20,69
17031561000,561000,0.514502786,outside,chicago,5308,2082,3226,3149,3032,62,9,29,2,15,77
17031561100,561100,0.510359216,outside,chicago,5581,2969,2612,2566,2470,43,8,24,2,19,46
17031570100,570100,0.586064095,outside,chicago,1316,1044,272,262,156,15,1,89,0,1,10
17031570200,570200,0.681974752,outside,chicago,2096,1659,437,434,267,16,0,149,1,1,3
17031570300,570300,0.378510908,outside,chicago,6376,5468,908,854,644,33,4,163,2,8,54
17031570400,570400,0.176037898,outside,chicago,1769,1401,368,348,194,41,4,101,0,8,20
17031570500,570500,0.161946193,outside,chicago,2639,2092,547,537,401,19,4,109,0,4,10
17031580100,580100,0.293302235,outside,chicago,3228,2036,1192,1177,209,57,0,907,0,4,15
17031580200,580200,0.281580917,outside,chicago,3466,2699,767,753,211,64,1,468,1,8,14
17031580300,580300,0.182096274,outside,chicago,2577,2043,534,516,97,60,0,356,0,3,18
17031580400,580400,0.508000954,outside,chicago,4546,3490,1056,1035,269,67,0,689,0,10,21
17031580501,580501,0.189287609,outside,chicago,5170,4145,1025,1004,369,102,3,515,0,15,21
17031580502,580502,0.191153618,outside,chicago,5345,4442,903,875,226,46,14,560,1,28,28
17031580600,580600,0.190016286,outside,chicago,5405,4499,906,894,319,63,1,487,0,24,12
17031580700,580700,0.212407993,outside,chicago,5621,4588,1033,1007,323,68,4,597,0,15,26
17031580800,580800,0.070789367,outside,chicago,2058,1904,154,146,82,23,1,34,2,4,8
17031590500,590500,0.230045425,outside,chicago,1854,973,881,839,386,34,2,408,0,9,42
17031590600,590600,0.134345674,outside,chicago,3477,2314,1163,1101,521,48,3,526,0,3,62
17031590700,590700,0.340589819,outside,chicago,3027,1941,1086,1035,331,63,2,630,0,9,51
17031600400,600400,0.126269407,outside,chicago,4297,539,3758,3688,939,43,0,2704,0,2,70
17031600600,600600,0.156621043,outside,chicago,2988,907,2081,2039,668,38,1,1313,2,17,42
17031600700,600700,0.190017068,outside,chicago,2591,647,1944,1891,638,86,5,1157,3,2,53
17031600900,600900,0.142678509,outside,chicago,3682,1027,2655,2578,1120,287,7,1145,0,19,77
17031610300,610300,0.918953114,outside,chicago,5410,4716,694,649,266,215,10,149,1,8,45
17031610400,610400,0.062861039,outside,chicago,2029,1932,97,87,50,14,2,19,2,0,10
17031610800,610800,0.130099067,outside,chicago,1512,340,1172,1143,983,38,0,122,0,0,29
17031611200,611200,0.126159412,outside,chicago,2680,2118,562,520,87,384,0,37,2,10,42
17031611300,611300,0.126209985,outside,chicago,3668,3269,399,375,106,250,3,7,0,9,24
17031611400,611400,0.125976467,outside,chicago,3737,3516,221,211,69,129,0,8,0,5,10
17031611500,611500,0.195779061,outside,chicago,3587,3080,507,491,138,317,3,21,0,12,16
17031611600,611600,0.129027232,outside,chicago,1921,1217,704,661,35,614,2,3,0,7,43
17031611700,611700,0.12664018,outside,chicago,2180,1534,646,634,57,570,0,4,0,3,12
17031611800,611800,0.126531816,outside,chicago,2205,1267,938,919,32,876,0,2,2,7,19
17031611900,611900,0.252086908,outside,chicago,1984,880,1104,1079,15,1056,1,1,0,6,25
17031612000,612000,0.125755402,outside,chicago,1448,378,1070,1043,21,1010,0,8,0,4,27
17031612100,612100,0.125960495,outside,chicago,1168,208,960,934,20,905,1,7,0,1,26
17031801701,801701,0.835923389,north,ccdph,3846,143,3703,3561,2988,2,2,562,0,7,142
17031801606,801606,2.437089668,north,ccdph,6716,241,6475,6334,4905,47,5,1315,0,62,141
17031801607,801607,2.153048584,north,ccdph,5225,228,4997,4845,3220,87,1,1526,0,11,152
17031801608,801608,2.656627885,north,ccdph,7057,160,6897,6721,4923,44,3,1735,0,16,176
17031801702,801702,1.2906063,north,ccdph,4756,163,4593,4447,3833,19,0,585,0,10,146
17031801800,801800,4.266928342,north,ccdph,5972,219,5753,5576,4895,43,3,626,0,9,177
17031801901,801901,1.550239192,north,ccdph,5016,1151,3865,3726,3150,69,3,474,4,26,139
17031801902,801902,1.224371517,north,ccdph,3420,186,3234,3124,2808,22,3,279,0,12,110
17031802002,802002,1.23903558,north,ccdph,5130,340,4790,4631,3826,49,7,710,1,38,159
17031802003,802003,0.662200365,north,ccdph,2679,406,2273,2191,1602,56,1,525,0,7,82
17031802004,802004,0.413121101,north,ccdph,5871,957,4914,4820,2461,185,0,2146,0,28,94
17031802100,802100,0.710627122,north,ccdph,3734,116,3618,3425,3142,29,0,230,0,24,193
17031802200,802200,1.712220166,north,ccdph,4848,210,4638,4475,4051,47,1,356,0,20,163
17031802300,802300,2.020492627,north,ccdph,5968,326,5642,5413,3952,67,1,1375,3,15,229
17031802402,802402,2.118200852,north,ccdph,5543,1654,3889,3768,2806,96,3,843,1,19,121
17031802403,802403,0.219728937,north,ccdph,1531,91,1440,1385,1165,17,0,203,0,0,55
17031802404,802404,0.990259237,north,ccdph,7558,3388,4170,4048,3048,159,2,811,4,24,122
