municipality,total_pop,pop_in_cook,district,partial,exclude_from_analysis,census_place_code
Alsip,19063,19063,Southwest,FALSE,FALSE,01010
Arlington Heights,77676,77676,North,FALSE,FALSE,02154
Barrington,10722,5856,North,TRUE,FALSE,03844
Barrington Hills,4114,2152,North,TRUE,FALSE,03883
Bartlett,41105,17211,North,TRUE,FALSE,04013
Bedford Park,602,602,Southwest,FALSE,FALSE,04572
Bellwood,18789,18789,West,FALSE,FALSE,04975
Bensenville,18813,0,West,TRUE,TRUE,05248
Berkeley,5338,5338,West,FALSE,FALSE,05404
Berwyn,57250,57250,West,FALSE,FALSE,05573
Blue Island,22558,22558,Southwest,FALSE,FALSE,06704
Bridgeview,17027,17027,Southwest,FALSE,FALSE,08225
Broadview,7998,7998,West,FALSE,FALSE,08446
Brookfield,19476,19476,West,FALSE,FALSE,08576
Buffalo Grove,43212,13812,North,TRUE,FALSE,09447
Burbank,29439,29439,OOJ,FALSE,FALSE,09642
Burnham,4046,4046,South,FALSE,FALSE,09798
Burr Ridge,11192,4366,West,TRUE,FALSE,09980
Calumet City,36033,36033,South,FALSE,FALSE,10487
Calumet Park,7025,7025,Southwest,FALSE,FALSE,10513
Chicago,2746388,2746388,OOJ,FALSE,FALSE,14000
Chicago Heights,27480,27480,South,FALSE,FALSE,14026
Chicago Ridge,14433,14433,Southwest,FALSE,FALSE,14065
Cicero,85268,85268,West,FALSE,FALSE,14351
Country Club Hills,16775,16775,South,FALSE,FALSE,16691
Countryside,6420,6420,West,FALSE,FALSE,16873
Crestwood,10826,10826,Southwest,FALSE,FALSE,17497
Crete,8465,0,South,TRUE,TRUE,17523
Deer Park,3681,18,North,TRUE,TRUE,19083
Deerfield,19196,507,North,TRUE,FALSE,18992
Des Plaines,60675,60675,North,FALSE,FALSE,19642
Dixmoor,2973,2973,South,FALSE,FALSE,20149
Dolton,21426,21426,South,FALSE,FALSE,20292
East Dundee,3152,0,North,TRUE,TRUE,21696
East Hazel Crest,1297,1297,South,FALSE,FALSE,21904
Elgin,114797,24647,North,TRUE,FALSE,23074
Elk Grove Village,32812,32812,North,FALSE,FALSE,23256
Elmhurst,45786,8,West,TRUE,TRUE,23620
Elmwood Park,24521,24521,West,FALSE,FALSE,23724
Evanston,78110,78110,OOJ,FALSE,FALSE,24582
Evergreen Park,19943,19943,Southwest,FALSE,FALSE,24634
Flossmoor,9704,9704,South,FALSE,FALSE,26571
Ford Heights,1813,1813,South,FALSE,FALSE,26710
Forest Park,14339,14339,West,FALSE,FALSE,26935
Forest View,792,792,OOJ,FALSE,FALSE,26987
Frankfort,20296,0,South,TRUE,TRUE,27624
Franklin Park,18467,18467,West,FALSE,FALSE,27702
Glencoe,8849,8849,North,FALSE,FALSE,29652
Glenview,48705,48705,North,FALSE,FALSE,29938
Glenwood,8662,8662,South,FALSE,FALSE,30029
Golf,514,514,North,FALSE,FALSE,30328
Hanover Park,37470,20087,North,TRUE,FALSE,32746
Harvey,20324,20324,South,FALSE,FALSE,33383
Harwood Heights,9065,9065,West,FALSE,FALSE,33435
Hazel Crest,13382,13382,South,FALSE,FALSE,33695
Hickory Hills,14505,14505,Southwest,FALSE,FALSE,34514
Highland Park,30176,0,North,TRUE,TRUE,34722
Hillside,8320,8320,West,FALSE,FALSE,35086
Hinsdale,17395,2372,West,TRUE,FALSE,35307
Hodgkins,1500,1500,West,FALSE,FALSE,35385
Hoffman Estates,52530,52530,North,FALSE,FALSE,35411
Homer Glen,24543,0,Southwest,TRUE,TRUE,35835
Hometown,4343,4343,Southwest,FALSE,FALSE,35866
Homewood,19463,19463,South,FALSE,FALSE,35879
Indian Head Park,4065,4065,West,FALSE,FALSE,37257
Inverness,7616,7616,North,FALSE,FALSE,37608
Justice,12600,12600,Southwest,FALSE,FALSE,38830
Kenilworth,2514,2514,North,FALSE,FALSE,39519
La Grange,16321,16321,West,FALSE,FALSE,40767
La Grange Park,13475,13475,West,FALSE,FALSE,40793
Lansing,29076,29076,South,FALSE,FALSE,42028
Lemont,17629,17620,Southwest,TRUE,FALSE,42795
Lincolnwood,13463,13463,North,FALSE,FALSE,43744
Lynwood,9116,9116,South,FALSE,FALSE,45421
Lyons,10817,10817,West,FALSE,FALSE,45434
Markham,11661,11661,South,FALSE,FALSE,47007
Matteson,19073,19073,South,FALSE,FALSE,47540
Maywood,23512,23512,West,FALSE,FALSE,47774
McCook,249,249,West,FALSE,FALSE,45564
Melrose Park,24796,24796,West,FALSE,FALSE,48242
Merrionette Park,1969,1969,Southwest,FALSE,FALSE,48554
Midlothian,14325,14325,South,FALSE,FALSE,48892
Morton Grove,25297,25297,North,FALSE,FALSE,50647
Mount Prospect,56852,56852,North,FALSE,FALSE,51089
Niles,30912,30912,North,FALSE,FALSE,53000
Norridge,15251,15251,West,FALSE,FALSE,53377
North Riverside,7426,7426,West,FALSE,FALSE,54144
Northbrook,35222,35222,North,FALSE,FALSE,53481
Northfield,5751,5751,North,FALSE,FALSE,53663
Northlake,12840,12840,West,FALSE,FALSE,53871
Oak Brook,8163,0,West,TRUE,TRUE,54534
Oak Forest,27478,27478,South,FALSE,FALSE,54638
Oak Lawn,58362,58362,Southwest,FALSE,FALSE,54820
Oak Park,54583,54583,OOJ,FALSE,FALSE,54885
Olympia Fields,4718,4718,South,FALSE,FALSE,55938
