geoid_zcta,total_pop,pop_in_cook,percent_pop,partial
60120,50799,25772,50.73,TRUE
60126,48147,313,0.65,TRUE
60130,14346,14346,100,FALSE
60131,18205,18205,100,FALSE
60133,37494,20110,53.64,TRUE
60141,131,131,100,FALSE
60153,23512,23512,100,FALSE
60154,16895,16895,100,FALSE
60155,8011,8011,100,FALSE
60160,24776,24776,100,FALSE
60162,8337,8337,100,FALSE
60163,5285,5285,100,FALSE
60164,22367,22367,100,FALSE
60165,4576,4576,100,FALSE
60169,34248,34248,100,FALSE
60171,10612,10612,100,FALSE
60172,24560,4262,17.35,TRUE
60173,13764,13764,100,FALSE
60176,11714,11714,100,FALSE
60043,2514,2514,100,FALSE
60053,25297,25297,100,FALSE
60056,57177,57177,100,FALSE
60513,19514,19514,100,FALSE
60521,18199,2367,13.01,TRUE
60523,10347,21,0.2,TRUE
60525,32613,32613,100,FALSE
60526,13810,13810,100,FALSE
60527,29139,4557,15.64,TRUE
60534,10749,10749,100,FALSE
60546,16819,16819,100,FALSE
60062,42751,42751,100,FALSE
60067,39324,39324,100,FALSE
60068,39672,39672,100,FALSE
60070,15840,15840,100,FALSE
60074,37705,37579,99.67,TRUE
60076,34295,34295,100,FALSE
60077,28856,28856,100,FALSE
60089,43227,13764,31.84,TRUE
60090,39017,39017,100,FALSE
60091,28053,28053,100,FALSE
60093,20691,20691,100,FALSE
60103,41740,17285,41.41,TRUE
60104,18829,18829,100,FALSE
60107,39535,39535,100,FALSE
60602,1261,1261,100,FALSE
60601,15814,15814,100,FALSE
60603,1288,1288,100,FALSE
60604,897,897,100,FALSE
60605,34071,34071,100,FALSE
60606,3797,3797,100,FALSE
60607,31816,31816,100,FALSE
60608,75770,75770,100,FALSE
60609,65770,65770,100,FALSE
60610,43794,43794,100,FALSE
60611,38456,38456,100,FALSE
60612,34402,34402,100,FALSE
60613,53048,53048,100,FALSE
60614,73173,73173,100,FALSE
60615,43502,43502,100,FALSE
60616,54013,54013,100,FALSE
60617,77270,77270,100,FALSE
60618,90316,90316,100,FALSE
60619,63303,63303,100,FALSE
60620,66514,66514,100,FALSE
60621,29570,29570,100,FALSE
60558,13629,13629,100,FALSE
60622,55075,55075,100,FALSE
60623,87649,87649,100,FALSE
60624,37547,37547,100,FALSE
60625,76525,76525,100,FALSE
60626,50548,50548,100,FALSE
60628,62832,62832,100,FALSE
60629,114453,114453,100,FALSE
60630,54064,54064,100,FALSE
60631,29691,29691,100,FALSE
60632,92237,92237,100,FALSE
60633,13359,13359,100,FALSE
60634,75694,75694,100,FALSE
60636,34800,34800,100,FALSE
60637,53555,53555,100,FALSE
60638,56928,56928,100,FALSE
60639,89543,89543,100,FALSE
60640,65941,65941,100,FALSE
60641,69354,69354,100,FALSE
60642,21687,21687,100,FALSE
60643,47831,47831,100,FALSE
60644,47239,47239,100,FALSE
60645,48356,48356,100,FALSE
60646,28383,28383,100,FALSE
60647,85631,85631,100,FALSE
60649,48171,48171,100,FALSE
60651,62819,62819,100,FALSE
60652,40898,40898,100,FALSE
60653,33146,33146,100,FALSE
60438,29661,29661,100,FALSE
60439,24327,22429,92.2,TRUE
60443,21309,21309,100,FALSE
