state,pop,state_name
AL,5024279,Alabama
AK,733391,Alaska
AZ,7151502,Arizona
AR,3011524,Arkansas
CA,39538223,California
CO,5773714,Colorado
CT,3605944,Connecticut
DE,989948,Delaware
DC,689545,District of Columbia
ID,1839106,Idaho
FL,21538187,Florida
GA,10711908,Georgia
HI,1455271,Hawaii
IL,12812508,Illinois
IN,6785528,Indiana
IA,3190369,Iowa
KS,2937880,Kansas
KY,4505836,Kentucky
LA,4657757,Louisiana
ME,1362359,Maine
MD,6177224,Maryland
MA,7029917,Massachusetts
MI,10077331,Michigan
MN,5706494,Minnesota
MS,2961279,Mississippi
MO,6154913,Missouri
MT,1084225,Montana
NE,1961504,Nebraska
NV,3104614,Nevada
NH,1377529,New Hampshire
NJ,9288994,New Jersey
NM,2117522,New Mexico
NY,20201249,New York
NC,10439388,North Carolina
ND,779094,North Dakota
OH,11799448,Ohio
OK,3959353,Oklahoma
OR,4237256,Oregon
PA,13002700,Pennsylvania
RI,1097379,Rhode Island
SC,5118425,South Carolina
SD,886667,South Dakota
TN,6910840,Tennessee
TX,29145505,Texas
UT,3271616,Utah
VT,643077,Vermont
VA,8631393,Virginia
WA,7705281,Washington
WV,1793716,West Virginia
WI,5893718,Wisconsin
WY,576851,Wyoming
PR,3285874,Puerto Rico
