census_name,clean_name,census_place_code,variable,sex,age,estimate,margin_of_error
"Alsip village, Illinois",Alsip,01010,B01001_003E,Male,Under 5 years,644,215
"Alsip village, Illinois",Alsip,01010,B01001_004E,Male,5 to 9 years,518,184
"Alsip village, Illinois",Alsip,01010,B01001_005E,Male,10 to 14 years,781,238
"Alsip village, Illinois",Alsip,01010,B01001_006E,Male,15 to 17 years,408,173
"Alsip village, Illinois",Alsip,01010,B01001_007E,Male,18 and 19 years,286,138
"Alsip village, Illinois",Alsip,01010,B01001_008E,Male,20 years,68,51
"Alsip village, Illinois",Alsip,01010,B01001_009E,Male,21 years,130,125
"Alsip village, Illinois",Alsip,01010,B01001_010E,Male,22 to 24 years,373,155
"Alsip village, Illinois",Alsip,01010,B01001_011E,Male,25 to 29 years,590,167
"Alsip village, Illinois",Alsip,01010,B01001_012E,Male,30 to 34 years,660,170
"Alsip village, Illinois",Alsip,01010,B01001_013E,Male,35 to 39 years,739,188
"Alsip village, Illinois",Alsip,01010,B01001_014E,Male,40 to 44 years,678,158
"Alsip village, Illinois",Alsip,01010,B01001_015E,Male,45 to 49 years,350,120
"Alsip village, Illinois",Alsip,01010,B01001_016E,Male,50 to 54 years,490,149
"Alsip village, Illinois",Alsip,01010,B01001_017E,Male,55 to 59 years,831,210
"Alsip village, Illinois",Alsip,01010,B01001_018E,Male,60 and 61 years,168,80
"Alsip village, Illinois",Alsip,01010,B01001_019E,Male,62 to 64 years,219,96
"Alsip village, Illinois",Alsip,01010,B01001_020E,Male,65 and 66 years,173,77
"Alsip village, Illinois",Alsip,01010,B01001_021E,Male,67 to 69 years,284,106
"Alsip village, Illinois",Alsip,01010,B01001_022E,Male,70 to 74 years,427,143
"Alsip village, Illinois",Alsip,01010,B01001_023E,Male,75 to 79 years,176,80
"Alsip village, Illinois",Alsip,01010,B01001_024E,Male,80 to 84 years,103,68
"Alsip village, Illinois",Alsip,01010,B01001_025E,Male,85 years and over,204,114
"Alsip village, Illinois",Alsip,01010,B01001_027E,Female,Under 5 years,409,185
"Alsip village, Illinois",Alsip,01010,B01001_028E,Female,5 to 9 years,768,257
"Alsip village, Illinois",Alsip,01010,B01001_029E,Female,10 to 14 years,641,192
"Alsip village, Illinois",Alsip,01010,B01001_030E,Female,15 to 17 years,368,140
"Alsip village, Illinois",Alsip,01010,B01001_031E,Female,18 and 19 years,90,74
"Alsip village, Illinois",Alsip,01010,B01001_032E,Female,20 years,53,69
"Alsip village, Illinois",Alsip,01010,B01001_033E,Female,21 years,108,87
"Alsip village, Illinois",Alsip,01010,B01001_034E,Female,22 to 24 years,388,165
"Alsip village, Illinois",Alsip,01010,B01001_035E,Female,25 to 29 years,703,184
"Alsip village, Illinois",Alsip,01010,B01001_036E,Female,30 to 34 years,701,210
"Alsip village, Illinois",Alsip,01010,B01001_037E,Female,35 to 39 years,781,212
"Alsip village, Illinois",Alsip,01010,B01001_038E,Female,40 to 44 years,721,195
"Alsip village, Illinois",Alsip,01010,B01001_039E,Female,45 to 49 years,667,160
"Alsip village, Illinois",Alsip,01010,B01001_040E,Female,50 to 54 years,566,140
"Alsip village, Illinois",Alsip,01010,B01001_041E,Female,55 to 59 years,583,146
"Alsip village, Illinois",Alsip,01010,B01001_042E,Female,60 and 61 years,152,77
"Alsip village, Illinois",Alsip,01010,B01001_043E,Female,62 to 64 years,519,181
"Alsip village, Illinois",Alsip,01010,B01001_044E,Female,65 and 66 years,263,100
"Alsip village, Illinois",Alsip,01010,B01001_045E,Female,67 to 69 years,211,103
"Alsip village, Illinois",Alsip,01010,B01001_046E,Female,70 to 74 years,459,151
"Alsip village, Illinois",Alsip,01010,B01001_047E,Female,75 to 79 years,195,103
"Alsip village, Illinois",Alsip,01010,B01001_048E,Female,80 to 84 years,203,88
"Alsip village, Illinois",Alsip,01010,B01001_049E,Female,85 years and over,173,79
"Arlington Heights village, Illinois",Arlington Heights,02154,B01001_003E,Male,Under 5 years,2037,307
"Arlington Heights village, Illinois",Arlington Heights,02154,B01001_004E,Male,5 to 9 years,2492,313
"Arlington Heights village, Illinois",Arlington Heights,02154,B01001_005E,Male,10 to 14 years,2231,342
"Arlington Heights village, Illinois",Arlington Heights,02154,B01001_006E,Male,15 to 17 years,1762,364
"Arlington Heights village, Illinois",Arlington Heights,02154,B01001_007E,Male,18 and 19 years,587,161
