"zip_code","variable","sex","age","estimate"
60004,"B01001_003E","Male","Under 5 years",1573
60004,"B01001_004E","Male","5 to 9 years",1658
60004,"B01001_005E","Male","10 to 14 years",1349
60004,"B01001_006E","Male","15 to 17 years",1133
60004,"B01001_007E","Male","18 and 19 years",413
60004,"B01001_008E","Male","20 years",213
60004,"B01001_009E","Male","21 years",116
60004,"B01001_010E","Male","22 to 24 years",651
60004,"B01001_011E","Male","25 to 29 years",1186
60004,"B01001_012E","Male","30 to 34 years",1450
60004,"B01001_013E","Male","35 to 39 years",1824
60004,"B01001_014E","Male","40 to 44 years",1671
60004,"B01001_015E","Male","45 to 49 years",1796
60004,"B01001_016E","Male","50 to 54 years",1686
60004,"B01001_017E","Male","55 to 59 years",1923
60004,"B01001_018E","Male","60 and 61 years",669
60004,"B01001_019E","Male","62 to 64 years",991
60004,"B01001_020E","Male","65 and 66 years",749
60004,"B01001_021E","Male","67 to 69 years",673
60004,"B01001_022E","Male","70 to 74 years",930
60004,"B01001_023E","Male","75 to 79 years",733
60004,"B01001_024E","Male","80 to 84 years",543
60004,"B01001_025E","Male","85 years and over",522
60004,"B01001_027E","Female","Under 5 years",1532
60004,"B01001_028E","Female","5 to 9 years",1727
60004,"B01001_029E","Female","10 to 14 years",1822
60004,"B01001_030E","Female","15 to 17 years",845
60004,"B01001_031E","Female","18 and 19 years",337
60004,"B01001_032E","Female","20 years",56
60004,"B01001_033E","Female","21 years",56
60004,"B01001_034E","Female","22 to 24 years",517
60004,"B01001_035E","Female","25 to 29 years",1469
60004,"B01001_036E","Female","30 to 34 years",1604
60004,"B01001_037E","Female","35 to 39 years",1628
60004,"B01001_038E","Female","40 to 44 years",1601
60004,"B01001_039E","Female","45 to 49 years",1902
60004,"B01001_040E","Female","50 to 54 years",1733
60004,"B01001_041E","Female","55 to 59 years",1947
60004,"B01001_042E","Female","60 and 61 years",976
60004,"B01001_043E","Female","62 to 64 years",1102
60004,"B01001_044E","Female","65 and 66 years",588
60004,"B01001_045E","Female","67 to 69 years",941
60004,"B01001_046E","Female","70 to 74 years",1114
60004,"B01001_047E","Female","75 to 79 years",941
60004,"B01001_048E","Female","80 to 84 years",594
60004,"B01001_049E","Female","85 years and over",1155
60005,"B01001_003E","Male","Under 5 years",643
60005,"B01001_004E","Male","5 to 9 years",1100
60005,"B01001_005E","Male","10 to 14 years",1131
60005,"B01001_006E","Male","15 to 17 years",689
60005,"B01001_007E","Male","18 and 19 years",309
60005,"B01001_008E","Male","20 years",132
60005,"B01001_009E","Male","21 years",136
60005,"B01001_010E","Male","22 to 24 years",386
60005,"B01001_011E","Male","25 to 29 years",912
60005,"B01001_012E","Male","30 to 34 years",874
60005,"B01001_013E","Male","35 to 39 years",991
60005,"B01001_014E","Male","40 to 44 years",1094
60005,"B01001_015E","Male","45 to 49 years",1226
60005,"B01001_016E","Male","50 to 54 years",1134
60005,"B01001_017E","Male","55 to 59 years",910
60005,"B01001_018E","Male","60 and 61 years",459
60005,"B01001_019E","Male","62 to 64 years",681
60005,"B01001_020E","Male","65 and 66 years",523
60005,"B01001_021E","Male","67 to 69 years",407
60005,"B01001_022E","Male","70 to 74 years",417
60005,"B01001_023E","Male","75 to 79 years",407
60005,"B01001_024E","Male","80 to 84 years",343
60005,"B01001_025E","Male","85 years and over",408
60005,"B01001_027E","Female","Under 5 years",663
60005,"B01001_028E","Female","5 to 9 years",669
60005,"B01001_029E","Female","10 to 14 years",883
60005,"B01001_030E","Female","15 to 17 years",366
60005,"B01001_031E","Female","18 and 19 years",181
60005,"B01001_032E","Female","20 years",36
60005,"B01001_033E","Female","21 years",94
60005,"B01001_034E","Female","22 to 24 years",289
60005,"B01001_035E","Female","25 to 29 years",705
60005,"B01001_036E","Female","30 to 34 years",1035
60005,"B01001_037E","Female","35 to 39 years",1006
60005,"B01001_038E","Female","40 to 44 years",967
60005,"B01001_039E","Female","45 to 49 years",1154
60005,"B01001_040E","Female","50 to 54 years",1038
60005,"B01001_041E","Female","55 to 59 years",1019
60005,"B01001_042E","Female","60 and 61 years",320
60005,"B01001_043E","Female","62 to 64 years",873
60005,"B01001_044E","Female","65 and 66 years",532
60005,"B01001_045E","Female","67 to 69 years",589
60005,"B01001_046E","Female","70 to 74 years",792
60005,"B01001_047E","Female","75 to 79 years",381
60005,"B01001_048E","Female","80 to 84 years",398
60005,"B01001_049E","Female","85 years and over",777
60007,"B01001_003E","Male","Under 5 years",797
60007,"B01001_004E","Male","5 to 9 years",864
60007,"B01001_005E","Male","10 to 14 years",990
60007,"B01001_006E","Male","15 to 17 years",455
60007,"B01001_007E","Male","18 and 19 years",396
60007,"B01001_008E","Male","20 years",155
60007,"B01001_009E","Male","21 years",111
