"geoid","name","tract_name","total_population","total_poverty","percent_poverty","poverty_cat"
"1400000US17031251000","Census Tract 2510, Cook County, Illinois","251000",997,305,0.305917753259779,"20-100%"
"1400000US17031251100","Census Tract 2511, Cook County, Illinois","251100",4763,1534,0.322065924837287,"20-100%"
"1400000US17031251200","Census Tract 2512, Cook County, Illinois","251200",4527,486,0.107355864811133,"10-19.9%"
"1400000US17031251300","Census Tract 2513, Cook County, Illinois","251300",3920,1027,0.261989795918367,"20-100%"
"1400000US17031251400","Census Tract 2514, Cook County, Illinois","251400",3894,1116,0.286594761171032,"20-100%"
"1400000US17031251500","Census Tract 2515, Cook County, Illinois","251500",4601,1238,0.269071940882417,"20-100%"
"1400000US17031251600","Census Tract 2516, Cook County, Illinois","251600",4300,1256,0.292093023255814,"20-100%"
"1400000US17031251700","Census Tract 2517, Cook County, Illinois","251700",1262,247,0.195721077654517,"10-19.9%"
"1400000US17031251800","Census Tract 2518, Cook County, Illinois","251800",5175,2280,0.440579710144928,"20-100%"
"1400000US17031251900","Census Tract 2519, Cook County, Illinois","251900",4763,1960,0.411505353768633,"20-100%"
"1400000US17031252000","Census Tract 2520, Cook County, Illinois","252000",4958,1395,0.281363453005244,"20-100%"
"1400000US17031252101","Census Tract 2521.01, Cook County, Illinois","252101",1289,415,0.321955003878976,"20-100%"
"1400000US17031252102","Census Tract 2521.02, Cook County, Illinois","252102",6452,1841,0.285337879727216,"20-100%"
"1400000US17031252201","Census Tract 2522.01, Cook County, Illinois","252201",2672,660,0.247005988023952,"20-100%"
"1400000US17031252202","Census Tract 2522.02, Cook County, Illinois","252202",4385,1452,0.331128848346636,"20-100%"
"1400000US17031260100","Census Tract 2601, Cook County, Illinois","260100",1200,410,0.341666666666667,"20-100%"
"1400000US17031260200","Census Tract 2602, Cook County, Illinois","260200",873,96,0.109965635738832,"10-19.9%"
"1400000US17031260300","Census Tract 2603, Cook County, Illinois","260300",1777,1007,0.566685424873382,"20-100%"
"1400000US17031260400","Census Tract 2604, Cook County, Illinois","260400",1158,239,0.206390328151986,"20-100%"
"1400000US17031260500","Census Tract 2605, Cook County, Illinois","260500",1733,546,0.315060588574726,"20-100%"
"1400000US17031260600","Census Tract 2606, Cook County, Illinois","260600",2097,1030,0.491177873152122,"20-100%"
"1400000US17031260700","Census Tract 2607, Cook County, Illinois","260700",1633,680,0.416411512553582,"20-100%"
"1400000US17031260800","Census Tract 2608, Cook County, Illinois","260800",2328,986,0.423539518900344,"20-100%"
"1400000US17031260900","Census Tract 2609, Cook County, Illinois","260900",1419,530,0.373502466525722,"20-100%"
"1400000US17031261000","Census Tract 2610, Cook County, Illinois","261000",2271,491,0.216204315279613,"20-100%"
"1400000US17031270500","Census Tract 2705, Cook County, Illinois","270500",1285,587,0.456809338521401,"20-100%"
"1400000US17031271200","Census Tract 2712, Cook County, Illinois","271200",1273,359,0.282010997643362,"20-100%"
"1400000US17031271300","Census Tract 2713, Cook County, Illinois","271300",1122,577,0.514260249554367,"20-100%"
"1400000US17031271400","Census Tract 2714, Cook County, Illinois","271400",1228,476,0.387622149837134,"20-100%"
"1400000US17031271500","Census Tract 2715, Cook County, Illinois","271500",1531,403,0.263226649248857,"20-100%"
"1400000US17031271800","Census Tract 2718, Cook County, Illinois","271800",459,150,0.326797385620915,"20-100%"
"1400000US17031280100","Census Tract 2801, Cook County, Illinois","280100",6725,328,0.0487732342007435,"0-4.9%"
"1400000US17031280400","Census Tract 2804, Cook County, Illinois","280400",1371,372,0.271334792122538,"20-100%"
"1400000US17031280800","Census Tract 2808, Cook County, Illinois","280800",809,317,0.391841779975278,"20-100%"
"1400000US17031280900","Census Tract 2809, Cook County, Illinois","280900",782,414,0.529411764705882,"20-100%"
"1400000US17031281900","Census Tract 2819, Cook County, Illinois","281900",6487,571,0.0880221982426391,"5-9.9%"
"1400000US17031282700","Census Tract 2827, Cook County, Illinois","282700",2042,429,0.210088148873653,"20-100%"
"1400000US17031250800","Census Tract 2508, Cook County, Illinois","250800",2607,566,0.21710778672804,"20-100%"
"1400000US17031282800","Census Tract 2828, Cook County, Illinois","282800",1627,252,0.154886293792256,"10-19.9%"
"1400000US17031283100","Census Tract 2831, Cook County, Illinois","283100",3091,956,0.309285021028793,"20-100%"
