census_name,clean_name,census_place_code,variable,sex,age,total_pop,total_pop_moe,pop_in_cook,pop_in_cook_moe,vintage
"Alsip village, Illinois",Alsip,01010,B01001_003E,Male,Under 5 years,660,204,660,204,2021 5 YR
"Alsip village, Illinois",Alsip,01010,B01001_004E,Male,5 to 9 years,663,216,663,216,2021 5 YR
"Alsip village, Illinois",Alsip,01010,B01001_005E,Male,10 to 14 years,787,236,787,236,2021 5 YR
"Alsip village, Illinois",Alsip,01010,B01001_006E,Male,15 to 17 years,419,171,419,171,2021 5 YR
"Alsip village, Illinois",Alsip,01010,B01001_007E,Male,18 and 19 years,190,93,190,93,2021 5 YR
"Alsip village, Illinois",Alsip,01010,B01001_008E,Male,20 years,45,42,45,42,2021 5 YR
"Alsip village, Illinois",Alsip,01010,B01001_009E,Male,21 years,65,47,65,47,2021 5 YR
"Alsip village, Illinois",Alsip,01010,B01001_010E,Male,22 to 24 years,359,206,359,206,2021 5 YR
"Alsip village, Illinois",Alsip,01010,B01001_011E,Male,25 to 29 years,548,199,548,199,2021 5 YR
"Alsip village, Illinois",Alsip,01010,B01001_012E,Male,30 to 34 years,466,173,466,173,2021 5 YR
"Alsip village, Illinois",Alsip,01010,B01001_013E,Male,35 to 39 years,777,222,777,222,2021 5 YR
"Alsip village, Illinois",Alsip,01010,B01001_014E,Male,40 to 44 years,585,180,585,180,2021 5 YR
"Alsip village, Illinois",Alsip,01010,B01001_015E,Male,45 to 49 years,491,198,491,198,2021 5 YR
"Alsip village, Illinois",Alsip,01010,B01001_016E,Male,50 to 54 years,577,186,577,186,2021 5 YR
"Alsip village, Illinois",Alsip,01010,B01001_017E,Male,55 to 59 years,656,208,656,208,2021 5 YR
"Alsip village, Illinois",Alsip,01010,B01001_018E,Male,60 and 61 years,271,149,271,149,2021 5 YR
"Alsip village, Illinois",Alsip,01010,B01001_019E,Male,62 to 64 years,296,106,296,106,2021 5 YR
"Alsip village, Illinois",Alsip,01010,B01001_020E,Male,65 and 66 years,150,100,150,100,2021 5 YR
"Alsip village, Illinois",Alsip,01010,B01001_021E,Male,67 to 69 years,210,87,210,87,2021 5 YR
"Alsip village, Illinois",Alsip,01010,B01001_022E,Male,70 to 74 years,462,118,462,118,2021 5 YR
"Alsip village, Illinois",Alsip,01010,B01001_023E,Male,75 to 79 years,115,61,115,61,2021 5 YR
"Alsip village, Illinois",Alsip,01010,B01001_024E,Male,80 to 84 years,167,86,167,86,2021 5 YR
"Alsip village, Illinois",Alsip,01010,B01001_025E,Male,85 years and over,264,130,264,130,2021 5 YR
"Alsip village, Illinois",Alsip,01010,B01001_027E,Female,Under 5 years,412,204,412,204,2021 5 YR
"Alsip village, Illinois",Alsip,01010,B01001_028E,Female,5 to 9 years,782,236,782,236,2021 5 YR
"Alsip village, Illinois",Alsip,01010,B01001_029E,Female,10 to 14 years,622,230,622,230,2021 5 YR
"Alsip village, Illinois",Alsip,01010,B01001_030E,Female,15 to 17 years,302,112,302,112,2021 5 YR
"Alsip village, Illinois",Alsip,01010,B01001_031E,Female,18 and 19 years,117,81,117,81,2021 5 YR
"Alsip village, Illinois",Alsip,01010,B01001_032E,Female,20 years,159,197,159,197,2021 5 YR
"Alsip village, Illinois",Alsip,01010,B01001_033E,Female,21 years,100,100,100,100,2021 5 YR
"Alsip village, Illinois",Alsip,01010,B01001_034E,Female,22 to 24 years,325,126,325,126,2021 5 YR
"Alsip village, Illinois",Alsip,01010,B01001_035E,Female,25 to 29 years,567,213,567,213,2021 5 YR
"Alsip village, Illinois",Alsip,01010,B01001_036E,Female,30 to 34 years,460,184,460,184,2021 5 YR
"Alsip village, Illinois",Alsip,01010,B01001_037E,Female,35 to 39 years,915,198,915,198,2021 5 YR
"Alsip village, Illinois",Alsip,01010,B01001_038E,Female,40 to 44 years,564,188,564,188,2021 5 YR
"Alsip village, Illinois",Alsip,01010,B01001_039E,Female,45 to 49 years,767,341,767,341,2021 5 YR
