zcta,variable,sex,age,total_pop,total_pop_moe,vintage
60004,B01001_003E,Male,Under 5 years,1848,412,2021 5 YR
60004,B01001_004E,Male,5 to 9 years,1772,297,2021 5 YR
60004,B01001_005E,Male,10 to 14 years,1427,253,2021 5 YR
60004,B01001_006E,Male,15 to 17 years,1302,295,2021 5 YR
60004,B01001_007E,Male,18 and 19 years,461,175,2021 5 YR
60004,B01001_008E,Male,20 years,206,102,2021 5 YR
60004,B01001_009E,Male,21 years,135,85,2021 5 YR
60004,B01001_010E,Male,22 to 24 years,627,163,2021 5 YR
60004,B01001_011E,Male,25 to 29 years,960,239,2021 5 YR
60004,B01001_012E,Male,30 to 34 years,1510,330,2021 5 YR
60004,B01001_013E,Male,35 to 39 years,2043,308,2021 5 YR
60004,B01001_014E,Male,40 to 44 years,1611,241,2021 5 YR
60004,B01001_015E,Male,45 to 49 years,1658,275,2021 5 YR
60004,B01001_016E,Male,50 to 54 years,1888,252,2021 5 YR
60004,B01001_017E,Male,55 to 59 years,2074,279,2021 5 YR
60004,B01001_018E,Male,60 and 61 years,668,200,2021 5 YR
60004,B01001_019E,Male,62 to 64 years,900,221,2021 5 YR
60004,B01001_020E,Male,65 and 66 years,700,168,2021 5 YR
60004,B01001_021E,Male,67 to 69 years,651,158,2021 5 YR
60004,B01001_022E,Male,70 to 74 years,1307,237,2021 5 YR
60004,B01001_023E,Male,75 to 79 years,700,198,2021 5 YR
60004,B01001_024E,Male,80 to 84 years,696,218,2021 5 YR
60004,B01001_025E,Male,85 years and over,480,124,2021 5 YR
60004,B01001_027E,Female,Under 5 years,1571,343,2021 5 YR
60004,B01001_028E,Female,5 to 9 years,1780,275,2021 5 YR
60004,B01001_029E,Female,10 to 14 years,2019,371,2021 5 YR
60004,B01001_030E,Female,15 to 17 years,892,205,2021 5 YR
60004,B01001_031E,Female,18 and 19 years,361,145,2021 5 YR
60004,B01001_032E,Female,20 years,60,49,2021 5 YR
60004,B01001_033E,Female,21 years,85,56,2021 5 YR
60004,B01001_034E,Female,22 to 24 years,777,220,2021 5 YR
60004,B01001_035E,Female,25 to 29 years,1407,350,2021 5 YR
60004,B01001_036E,Female,30 to 34 years,1657,267,2021 5 YR
60004,B01001_037E,Female,35 to 39 years,1616,278,2021 5 YR
60004,B01001_038E,Female,40 to 44 years,1885,300,2021 5 YR
60004,B01001_039E,Female,45 to 49 years,1786,274,2021 5 YR
60004,B01001_040E,Female,50 to 54 years,1674,225,2021 5 YR
60004,B01001_041E,Female,55 to 59 years,2160,453,2021 5 YR
60004,B01001_042E,Female,60 and 61 years,754,173,2021 5 YR
60004,B01001_043E,Female,62 to 64 years,813,158,2021 5 YR
60004,B01001_044E,Female,65 and 66 years,623,181,2021 5 YR
60004,B01001_045E,Female,67 to 69 years,847,178,2021 5 YR
60004,B01001_046E,Female,70 to 74 years,1255,198,2021 5 YR
60004,B01001_047E,Female,75 to 79 years,1030,291,2021 5 YR
60004,B01001_048E,Female,80 to 84 years,616,198,2021 5 YR
60004,B01001_049E,Female,85 years and over,1052,313,2021 5 YR
60005,B01001_003E,Male,Under 5 years,1114,339,2021 5 YR
60005,B01001_004E,Male,5 to 9 years,913,215,2021 5 YR
60005,B01001_005E,Male,10 to 14 years,1025,330,2021 5 YR
60005,B01001_006E,Male,15 to 17 years,626,200,2021 5 YR
60005,B01001_007E,Male,18 and 19 years,206,133,2021 5 YR
60005,B01001_008E,Male,20 years,61,67,2021 5 YR
60005,B01001_009E,Male,21 years,126,92,2021 5 YR
60005,B01001_010E,Male,22 to 24 years,230,98,2021 5 YR
60005,B01001_011E,Male,25 to 29 years,913,225,2021 5 YR
60005,B01001_012E,Male,30 to 34 years,860,227,2021 5 YR
60005,B01001_013E,Male,35 to 39 years,1099,266,2021 5 YR
60005,B01001_014E,Male,40 to 44 years,1234,419,2021 5 YR
60005,B01001_015E,Male,45 to 49 years,1226,285,2021 5 YR
60005,B01001_016E,Male,50 to 54 years,1158,226,2021 5 YR
60005,B01001_017E,Male,55 to 59 years,810,240,2021 5 YR
60005,B01001_018E,Male,60 and 61 years,306,91,2021 5 YR
60005,B01001_019E,Male,62 to 64 years,810,239,2021 5 YR
60005,B01001_020E,Male,65 and 66 years,451,222,2021 5 YR
60005,B01001_021E,Male,67 to 69 years,511,168,2021 5 YR
60005,B01001_022E,Male,70 to 74 years,415,104,2021 5 YR
60005,B01001_023E,Male,75 to 79 years,289,98,2021 5 YR
60005,B01001_024E,Male,80 to 84 years,330,105,2021 5 YR
60005,B01001_025E,Male,85 years and over,311,112,2021 5 YR
60005,B01001_027E,Female,Under 5 years,752,315,2021 5 YR
60005,B01001_028E,Female,5 to 9 years,832,269,2021 5 YR
60005,B01001_029E,Female,10 to 14 years,1071,376,2021 5 YR
60005,B01001_030E,Female,15 to 17 years,443,241,2021 5 YR
60005,B01001_031E,Female,18 and 19 years,284,194,2021 5 YR
60005,B01001_032E,Female,20 years,27,26,2021 5 YR
60005,B01001_033E,Female,21 years,9,13,2021 5 YR
60005,B01001_034E,Female,22 to 24 years,214,88,2021 5 YR
60005,B01001_035E,Female,25 to 29 years,794,242,2021 5 YR
60005,B01001_036E,Female,30 to 34 years,923,234,2021 5 YR
60005,B01001_037E,Female,35 to 39 years,1190,247,2021 5 YR
60005,B01001_038E,Female,40 to 44 years,1021,227,2021 5 YR
60005,B01001_039E,Female,45 to 49 years,935,299,2021 5 YR
60005,B01001_040E,Female,50 to 54 years,1060,306,2021 5 YR
60005,B01001_041E,Female,55 to 59 years,916,231,2021 5 YR
60005,B01001_042E,Female,60 and 61 years,231,103,2021 5 YR
60005,B01001_043E,Female,62 to 64 years,775,195,2021 5 YR
60005,B01001_044E,Female,65 and 66 years,448,137,2021 5 YR
60005,B01001_045E,Female,67 to 69 years,523,148,2021 5 YR
60005,B01001_046E,Female,70 to 74 years,737,161,2021 5 YR
60005,B01001_047E,Female,75 to 79 years,509,201,2021 5 YR
60005,B01001_048E,Female,80 to 84 years,303,111,2021 5 YR
60005,B01001_049E,Female,85 years and over,601,149,2021 5 YR
60007,B01001_003E,Male,Under 5 years,827,282,2021 5 YR
60007,B01001_004E,Male,5 to 9 years,1020,289,2021 5 YR
60007,B01001_005E,Male,10 to 14 years,1139,315,2021 5 YR
60007,B01001_006E,Male,15 to 17 years,566,182,2021 5 YR
60007,B01001_007E,Male,18 and 19 years,440,215,2021 5 YR
60007,B01001_008E,Male,20 years,162,140,2021 5 YR
60007,B01001_009E,Male,21 years,37,32,2021 5 YR
60007,B01001_010E,Male,22 to 24 years,354,141,2021 5 YR
60007,B01001_011E,Male,25 to 29 years,836,208,2021 5 YR
60007,B01001_012E,Male,30 to 34 years,1117,237,2021 5 YR
60007,B01001_013E,Male,35 to 39 years,1084,217,2021 5 YR
60007,B01001_014E,Male,40 to 44 years,1068,325,2021 5 YR
60007,B01001_015E,Male,45 to 49 years,1079,284,2021 5 YR
60007,B01001_016E,Male,50 to 54 years,1161,292,2021 5 YR
60007,B01001_017E,Male,55 to 59 years,1145,235,2021 5 YR
60007,B01001_018E,Male,60 and 61 years,580,172,2021 5 YR
60007,B01001_019E,Male,62 to 64 years,813,250,2021 5 YR
60007,B01001_020E,Male,65 and 66 years,269,93,2021 5 YR
