age,ccdph_pop,scc_pop,chicago_pop,vintage
Under 5 years,135292,149524,165844,2020 5 YR
5 to 9 years,141891,156013,146219,2020 5 YR
10 to 14 years,154251,169089,153326,2020 5 YR
15 to 17 years,92334,101331,87279,2020 5 YR
18 and 19 years,49137,56336,65170,2020 5 YR
20 years,23952,27777,32288,2020 5 YR
21 years,23190,26365,36741,2020 5 YR
22 to 24 years,73437,81819,129463,2020 5 YR
25 to 29 years,133943,147646,285085,2020 5 YR
30 to 34 years,141207,154090,258006,2020 5 YR
35 to 39 years,146220,161067,205137,2020 5 YR
40 to 44 years,144257,160352,173169,2020 5 YR
45 to 49 years,148418,162887,163422,2020 5 YR
50 to 54 years,149913,164495,156934,2020 5 YR
55 to 59 years,158670,173417,156931,2020 5 YR
60 and 61 years,64342,70806,60183,2020 5 YR
62 to 64 years,83330,91642,81976,2020 5 YR
65 and 66 years,53147,58881,50217,2020 5 YR
67 to 69 years,68385,75774,63059,2020 5 YR
70 to 74 years,91003,100892,85040,2020 5 YR
75 to 79 years,63072,69005,60386,2020 5 YR
80 to 84 years,46988,51206,39037,2020 5 YR
85 years and over,54392,59756,44435,2020 5 YR
