name,geo_id,tract,poverty_status_assessed,total_below_poverty,percent_poverty,poverty_cat,total_acs_pop,vintage
Census Tract 7702.01; Cook County; Illinois,1400000US17031770201,770201,5832,246,0.04218106995884774,0-4.9%,5871,2024 5 YR
Census Tract 7702.02; Cook County; Illinois,1400000US17031770202,770202,4279,763,0.17831268988081328,10-19.9%,4439,2024 5 YR
Census Tract 7703; Cook County; Illinois,1400000US17031770300,770300,6880,600,0.0872093023255814,5-9.9%,6900,2024 5 YR
Census Tract 7704; Cook County; Illinois,1400000US17031770400,770400,4578,431,0.09414591524683268,5-9.9%,4625,2024 5 YR
Census Tract 7705; Cook County; Illinois,1400000US17031770500,770500,4292,600,0.13979496738117428,10-19.9%,4292,2024 5 YR
Census Tract 7706.01; Cook County; Illinois,1400000US17031770601,770601,3203,156,0.048704339681548546,0-4.9%,3443,2024 5 YR
Census Tract 7706.02; Cook County; Illinois,1400000US17031770602,770602,4062,121,0.02978828163466273,0-4.9%,4220,2024 5 YR
Census Tract 7707; Cook County; Illinois,1400000US17031770700,770700,2350,222,0.09446808510638298,5-9.9%,2359,2024 5 YR
Census Tract 7708; Cook County; Illinois,1400000US17031770800,770800,5836,139,0.023817683344756684,0-4.9%,5836,2024 5 YR
Census Tract 7709.01; Cook County; Illinois,1400000US17031770901,770901,4899,373,0.07613798734435599,5-9.9%,4918,2024 5 YR
Census Tract 7709.02; Cook County; Illinois,1400000US17031770902,770902,3911,370,0.09460496036819228,5-9.9%,3911,2024 5 YR
Census Tract 8001; Cook County; Illinois,1400000US17031800100,800100,2354,74,0.03143585386576041,0-4.9%,2354,2024 5 YR
Census Tract 8002; Cook County; Illinois,1400000US17031800200,800200,6347,111,0.01748857728060501,0-4.9%,6347,2024 5 YR
Census Tract 8003; Cook County; Illinois,1400000US17031800300,800300,3351,47,0.014025663980901224,0-4.9%,3391,2024 5 YR
Census Tract 8004; Cook County; Illinois,1400000US17031800400,800400,3799,48,0.012634903922084759,0-4.9%,3799,2024 5 YR
Census Tract 8005; Cook County; Illinois,1400000US17031800500,800500,5263,109,0.020710621318639558,0-4.9%,5264,2024 5 YR
Census Tract 8006; Cook County; Illinois,1400000US17031800600,800600,2421,47,0.019413465510119784,0-4.9%,2421,2024 5 YR
Census Tract 8007; Cook County; Illinois,1400000US17031800700,800700,4953,96,0.019382192610539067,0-4.9%,4984,2024 5 YR
Census Tract 8008; Cook County; Illinois,1400000US17031800800,800800,2315,106,0.045788336933045355,0-4.9%,2322,2024 5 YR
Census Tract 8009; Cook County; Illinois,1400000US17031800900,800900,4371,298,0.0681766186227408,5-9.9%,4371,2024 5 YR
Census Tract 8010; Cook County; Illinois,1400000US17031801000,801000,5091,62,0.012178353957965037,0-4.9%,5091,2024 5 YR
Census Tract 8011; Cook County; Illinois,1400000US17031801100,801100,4953,68,0.01372905309913184,0-4.9%,4961,2024 5 YR
Census Tract 8012; Cook County; Illinois,1400000US17031801200,801200,3508,0,0,0-4.9%,3509,2024 5 YR
Census Tract 8013; Cook County; Illinois,1400000US17031801300,801300,4394,379,0.08625398270368685,5-9.9%,4461,2024 5 YR
Census Tract 8014; Cook County; Illinois,1400000US17031801400,801400,2886,159,0.0550935550935551,5-9.9%,2886,2024 5 YR
Census Tract 8015; Cook County; Illinois,1400000US17031801500,801500,5865,276,0.047058823529411764,0-4.9%,6219,2024 5 YR
Census Tract 8016.01; Cook County; Illinois,1400000US17031801601,801601,4421,250,0.0565482922415743,5-9.9%,4570,2024 5 YR
Census Tract 8016.03; Cook County; Illinois,1400000US17031801603,801603,3429,530,0.15456401283172938,10-19.9%,3656,2024 5 YR
Census Tract 8016.05; Cook County; Illinois,1400000US17031801605,801605,5607,302,0.053861244872480826,5-9.9%,5607,2024 5 YR
Census Tract 8016.06; Cook County; Illinois,1400000US17031801606,801606,7212,130,0.018025513033832503,0-4.9%,7212,2024 5 YR
Census Tract 8016.07; Cook County; Illinois,1400000US17031801607,801607,5903,213,0.03608334745044892,0-4.9%,5910,2024 5 YR
Census Tract 8016.08; Cook County; Illinois,1400000US17031801608,801608,6195,541,0.08732849071832123,5-9.9%,6318,2024 5 YR
Census Tract 8017.01; Cook County; Illinois,1400000US17031801701,801701,3469,20,0.005765350245027385,0-4.9%,3469,2024 5 YR
Census Tract 8017.02; Cook County; Illinois,1400000US17031801702,801702,4946,123,0.024868580671249495,0-4.9%,4950,2024 5 YR
Census Tract 8018; Cook County; Illinois,1400000US17031801800,801800,6173,304,0.04924671958529078,0-4.9%,6173,2024 5 YR
Census Tract 8019.01; Cook County; Illinois,1400000US17031801901,801901,4509,531,0.11776447105788423,10-19.9%,4634,2024 5 YR
Census Tract 8019.02; Cook County; Illinois,1400000US17031801902,801902,3728,19,0.00509656652360515,0-4.9%,3747,2024 5 YR
Census Tract 8020.02; Cook County; Illinois,1400000US17031802002,802002,4399,125,0.028415548988406456,0-4.9%,4720,2024 5 YR
Census Tract 8020.03; Cook County; Illinois,1400000US17031802003,802003,2376,141,0.059343434343434344,5-9.9%,2376,2024 5 YR
Census Tract 8020.04; Cook County; Illinois,1400000US17031802004,802004,5895,1705,0.28922815945716707,20-100%,5982,2024 5 YR
Census Tract 8021; Cook County; Illinois,1400000US17031802100,802100,3663,375,0.10237510237510238,10-19.9%,3672,2024 5 YR
Census Tract 8022; Cook County; Illinois,1400000US17031802200,802200,4839,176,0.036371151064269476,0-4.9%,4853,2024 5 YR
Census Tract 8023; Cook County; Illinois,1400000US17031802300,802300,5525,509,0.09212669683257918,5-9.9%,5606,2024 5 YR
Census Tract 8024.02; Cook County; Illinois,1400000US17031802402,802402,5539,343,0.06192453511464163,5-9.9%,5739,2024 5 YR
