municipality,district,percent_unemployed,percent_uninsured,percent_no_high_school_degree,vintage
Alsip,Southwest,7.6,9,11.5,2021 5 YR
Arlington Heights,North,3.5,5.5,4.2,2021 5 YR
Barrington,North,0.5,3.3,4.9,2021 5 YR
Barrington Hills,North,2.3,3,1.3,2021 5 YR
Bartlett,North,2.9,9.3,8.4,2021 5 YR
Bedford Park,Southwest,4.8,5.2,6.6,2021 5 YR
Bellwood,West,8.1,8.5,14.9,2021 5 YR
Berkeley,West,4.1,2.9,15.8,2021 5 YR
Berwyn,West,5.3,10.6,16.1,2021 5 YR
Blue Island,Southwest,12.2,13.1,20.7,2021 5 YR
Bridgeview,Southwest,6.8,13,15,2021 5 YR
Broadview,West,11.7,6.3,9.8,2021 5 YR
Brookfield,West,2.8,3.7,6.8,2021 5 YR
Buffalo Grove,North,2.8,5.5,3.4,2021 5 YR
Burnham,South,10,12.1,15,2021 5 YR
Burr Ridge,West,2.9,3.8,3,2021 5 YR
Calumet City,South,12,10.4,12.7,2021 5 YR
Calumet Park,Southwest,14.3,5.2,11,2021 5 YR
Chicago Heights,South,13.3,11.4,18.2,2021 5 YR
Chicago Ridge,Southwest,3.8,12.6,8.5,2021 5 YR
Cicero,West,4.1,18.5,28.6,2021 5 YR
Country Club Hills,South,11.7,6.2,6.2,2021 5 YR
Countryside,West,7.7,11.5,8.6,2021 5 YR
Crestwood,Southwest,5.4,7.3,6.7,2021 5 YR
Deerfield,North,9,0,0,2021 5 YR
Des Plaines,North,4.8,9.2,11.5,2021 5 YR
Dixmoor,South,5.3,20.8,25,2021 5 YR
Dolton,South,16.2,11.8,9.7,2021 5 YR
East Hazel Crest,South,13.3,10.8,13.7,2021 5 YR
Elgin,North,6.3,9.5,20,2021 5 YR
Elk Grove Village,North,4.1,5.9,5.7,2021 5 YR
Elmwood Park,West,6.1,8.9,9.3,2021 5 YR
Evergreen Park,Southwest,3.4,5,5.5,2021 5 YR
Flossmoor,South,12.3,3.8,3.3,2021 5 YR
Ford Heights,South,14.8,11.2,14.7,2021 5 YR
Forest Park,West,5.5,5.8,4.4,2021 5 YR
Franklin Park,West,4.7,13.5,21.8,2021 5 YR
Glencoe,North,4.3,1,2.5,2021 5 YR
Glenview,North,3.4,3.8,4.8,2021 5 YR
Glenwood,South,12.8,10.6,5,2021 5 YR
Golf,North,5,2.3,4.8,2021 5 YR
Hanover Park,North,4.4,15.6,22,2021 5 YR
Harvey,South,13.9,12.8,19.8,2021 5 YR
Harwood Heights,West,4.5,8,11.6,2021 5 YR
Hazel Crest,South,14.2,6.2,4.2,2021 5 YR
Hickory Hills,Southwest,5,9.8,13.2,2021 5 YR
Hillside,West,6,9.8,15.8,2021 5 YR
Hinsdale,West,3.7,3.2,5.7,2021 5 YR
Hodgkins,West,4.9,17.8,24.9,2021 5 YR
Hoffman Estates,North,3.9,6.6,9.2,2021 5 YR
Hometown,Southwest,5.1,13.3,12.3,2021 5 YR
Homewood,South,5.4,3.7,4.8,2021 5 YR
Indian Head Park,West,7.7,1.8,4,2021 5 YR
Inverness,North,2.3,3.6,3,2021 5 YR
Justice,Southwest,5.9,13.8,13.1,2021 5 YR
Kenilworth,North,4.9,0.7,2.3,2021 5 YR
La Grange,West,3.2,3.1,4.4,2021 5 YR
La Grange Park,West,3.9,2.5,4.7,2021 5 YR
Lansing,South,11,8.9,9.7,2021 5 YR
Lemont,Southwest,4.1,1.7,3.4,2021 5 YR
Lincolnwood,North,7.9,5.8,7.5,2021 5 YR
Lynwood,South,6.4,3,7.8,2021 5 YR
