"zcta","variable","value"
"60141","B19013_001E",NA
"60141","B19013_001M",NA
"60104","B19013_001E",56618
"60104","B19013_001M",3929
"60462","B19013_001E",84393
"60462","B19013_001M",4548
"60068","B19013_001E",111740
"60068","B19013_001M",5918
"60193","B19013_001E",83049
"60193","B19013_001M",3458
"60118","B19013_001E",90401
"60118","B19013_001M",6080
"60622","B19013_001E",101161
"60622","B19013_001M",3210
"60476","B19013_001E",64779
"60476","B19013_001M",11540
"60047","B19013_001E",141285
"60047","B19013_001M",7175
"60631","B19013_001E",93989
"60631","B19013_001M",6171
"60004","B19013_001E",99701
"60004","B19013_001M",4037
"60107","B19013_001E",80412
"60107","B19013_001M",4618
"60459","B19013_001E",62654
"60459","B19013_001M",4177
"60660","B19013_001E",50966
"60660","B19013_001M",1968
"60070","B19013_001E",72179
"60070","B19013_001M",7188
"60106","B19013_001E",64700
"60106","B19013_001M",4397
"60525","B19013_001E",91692
"60525","B19013_001M",7491
"60026","B19013_001E",119198
"60026","B19013_001M",13907
"60714","B19013_001E",64790
"60714","B19013_001M",4341
"60654","B19013_001E",122492
"60654","B19013_001M",10262
"60640","B19013_001E",57221
"60640","B19013_001M",2726
"60056","B19013_001E",79204
"60056","B19013_001M",4648
"60491","B19013_001E",107011
"60491","B19013_001M",4069
"60638","B19013_001E",68089
"60638","B19013_001M",3562
"60523","B19013_001E",101250
"60523","B19013_001M",10176
"60428","B19013_001E",43466
"60428","B19013_001M",5955
"60630","B19013_001E",73212
"60630","B19013_001M",3744
"60018","B19013_001E",64429
"60018","B19013_001M",3147
"60464","B19013_001E",101811
"60464","B19013_001M",13543
"60103","B19013_001E",109323
"60103","B19013_001M",3159
"60659","B19013_001E",52239
"60659","B19013_001M",2694
"60453","B19013_001E",64509
"60453","B19013_001M",4077
"60304","B19013_001E",115374
"60304","B19013_001M",6023
"60641","B19013_001E",63545
"60641","B19013_001M",1766
"60007","B19013_001E",82234
"60007","B19013_001M",5247
"60022","B19013_001E",248243
"60022","B19013_001M",34164
"60411","B19013_001E",47769
"60411","B19013_001M",3873
"60169","B19013_001E",77936
"60169","B19013_001M",5816
"60130","B19013_001E",62664
"60130","B19013_001M",4331
"60443","B19013_001E",77934
"60443","B19013_001M",8847
"60707","B19013_001E",61718
"60707","B19013_001M",5675
"60637","B19013_001E",28965
"60637","B19013_001M",1952
"60478","B19013_001E",61929
"60478","B19013_001M",6980
"60090","B19013_001E",68615
"60090","B19013_001M",3801
"60154","B19013_001E",86623
"60154","B19013_001M",4719
"60661","B19013_001E",120000
"60661","B19013_001M",13964
"60612","B19013_001E",43545
"60612","B19013_001M",2703
"60656","B19013_001E",64440
"60656","B19013_001M",4994
"60409","B19013_001E",44444
"60409","B19013_001M",3084
"60712","B19013_001E",95030
"60712","B19013_001M",7614
"60501","B19013_001E",53258
"60501","B19013_001M",11787
"60475","B19013_001E",49080
"60475","B19013_001M",3387
"60805","B19013_001E",75657
"60805","B19013_001M",5909
"60603","B19013_001E",146250
"60603","B19013_001M",20063
"60067","B19013_001E",105294
"60067","B19013_001M",5354
"60164","B19013_001E",61109
"60164","B19013_001M",3639
"60162","B19013_001E",57643
"60162","B19013_001M",5853
"60605","B19013_001E",111438
"60605","B19013_001M",10419
"60649","B19013_001E",31921
"60649","B19013_001M",2200
"60461","B19013_001E",100074
"60461","B19013_001M",12770
"60201","B19013_001E",78250
"60201","B19013_001M",6986
"60445","B19013_001E",60765
"60445","B19013_001M",5166
"60606","B19013_001E",140558
"60606","B19013_001M",18086
"60430","B19013_001E",74138
"60430","B19013_001M",5909
"60053","B19013_001E",85360
"60053","B19013_001M",5499
"60203","B19013_001E",123636
"60203","B19013_001M",8417
"60827","B19013_001E",32329
"60827","B19013_001M",3085
"60143","B19013_001E",97204
"60143","B19013_001M",8754
"60191","B19013_001E",69738
"60191","B19013_001M",6018
"60091","B19013_001E",164556
"60091","B19013_001M",7905
"60616","B19013_001E",52162
"60616","B19013_001M",4000
"60615","B19013_001E",45077
"60615","B19013_001M",3822
"60062","B19013_001E",112090
"60062","B19013_001M",4626
"60008","B19013_001E",71403
"60008","B19013_001M",4695
"60133","B19013_001E",76794
"60133","B19013_001M",4476
"60613","B19013_001E",84318
"60613","B19013_001M",4206
"60466","B19013_001E",54155
"60466","B19013_001M",3736
"60165","B19013_001E",59778
"60165","B19013_001M",11298
"60448","B19013_001E",107204
"60448","B19013_001M",3644
"60449","B19013_001E",80826
"60449","B19013_001M",13346
"60422","B19013_001E",117656
"60422","B19013_001M",19275
"60438","B19013_001E",53490
"60438","B19013_001M",2856
"60607","B19013_001E",102726
"60607","B19013_001M",8074
"60657","B19013_001E",95173
"60657","B19013_001M",2601
"60202","B19013_001E",79414
"60202","B19013_001M",3900
"60402","B19013_001E",63087
"60402","B19013_001M",3764
"60526","B19013_001E",105120
"60526","B19013_001M",6746
"60611","B19013_001E",106906
"60611","B19013_001M",5778
"60173","B19013_001E",85862
"60173","B19013_001M",6025
"60074","B19013_001E",68613
"60074","B19013_001M",4171
"60441","B19013_001E",79180
"60441","B19013_001M",5412
"60624","B19013_001E",23429
"60624","B19013_001M",1743
"60608","B19013_001E",50133
"60608","B19013_001M",3481
"60015","B19013_001E",146380
"60015","B19013_001M",6086
"60131","B19013_001E",64128
"60131","B19013_001M",5585
"60471","B19013_001E",62946
"60471","B19013_001M",5789
"60601","B19013_001E",103112
"60601","B19013_001M",6527
"60629","B19013_001E",43506
"60629","B19013_001M",2499
"60005","B19013_001E",84383
"60005","B19013_001M",4007
"60126","B19013_001E",117258
"60126","B19013_001M",4567
"60614","B19013_001E",117138
"60614","B19013_001M",4625
"60477","B19013_001E",69419
"60477","B19013_001M",3684
"60645","B19013_001E",57572
"60645","B19013_001M",3814
"60465","B19013_001E",61143
"60465","B19013_001M",5575
"60521","B19013_001E",196964
"60521","B19013_001M",19562
"60195","B19013_001E",88500
"60195","B19013_001M",6910
"60602","B19013_001E",191528
"60602","B19013_001M",41770
"60305","B19013_001E",129928
"60305","B19013_001M",13796
"60077","B19013_001E",65456
"60077","B19013_001M",4949
"60457","B19013_001E",65226
"60457","B19013_001M",5500
"60192","B19013_001E",122785
"60192","B19013_001M",5377
"60626","B19013_001E",42747
"60626","B19013_001M",2324
"60089","B19013_001E",116050
"60089","B19013_001M",3370
"60534","B19013_001E",60601
"60534","B19013_001M",13832
"60513","B19013_001E",82337
"60513","B19013_001M",5267
"60419","B19013_001E",46658
"60419","B19013_001M",3369
"60456","B19013_001E",50548
"60456","B19013_001M",3881
"60160","B19013_001E",50853
"60160","B19013_001M",3265
"60469","B19013_001E",40885
"60469","B19013_001M",16587
"60093","B19013_001E",194750
"60093","B19013_001M",19137
"60467","B19013_001E",100126
"60467","B19013_001M",7684
"60120","B19013_001E",61470
"60120","B19013_001M",3906
"60653","B19013_001E",31093
"60653","B19013_001M",1549
"60546","B19013_001E",80523
"60546","B19013_001M",3850
"60636","B19013_001E",26724
"60636","B19013_001M",1980
"60429","B19013_001E",54717
"60429","B19013_001M",5842
"60604","B19013_001E",91750
"60604","B19013_001M",65948
"60804","B19013_001E",49412
"60804","B19013_001M",2345
"60632","B19013_001E",44924
"60632","B19013_001M",1955
"60194","B19013_001E",81630
"60194","B19013_001M",4511
"60623","B19013_001E",32460
"60623","B19013_001M",1638
"60527","B19013_001E",103123
"60527","B19013_001M",4898
"60110","B19013_001E",69572
"60110","B19013_001M",5557
"60155","B19013_001E",54219
"60155","B19013_001M",6710
