zip_code,primary_city,district,percent_addresses,nssp_region,notes
60004,Arlington Heights,North,100,IL_Cook,NA
60005,Arlington Heights,North,100,IL_Cook,NA
60006,Arlington Heights,North,100,IL_Cook,PO Boxes
60007,Elk Grove Village,North,96.7,IL_Cook,borders cross into O'Hare and DuPage but all residents in Cook per census
60008,Rolling Meadows,North,100,IL_Cook,NA
60009,Elk Grove Village,North,100,IL_Cook,PO Boxes
60010,Barrington,North,36.75,IL_Cook,NA
60015,Deerfield,North,6.6,IL_Lake,NA
60016,Des Plaines,North,100,IL_Cook,NA
60017,Des Plaines,North,100,IL_Cook,PO Boxes
60018,Des Plaines,North,100,IL_Cook,NA
60019,Des Plaines,North,100,IL_Cook,specific company or organization
60022,Glencoe,North,100,IL_Cook,NA
60025,Glenview,North,100,IL_Cook,NA
60026,Glenview,North,100,IL_Cook,NA
60029,Golf,North,100,IL_Cook,PO Boxes
60038,Palatine,North,100,IL_Cook,specific company or organization (Grainger)
60043,Kenilworth,North,100,IL_Cook,NA
60053,Morton Grove,North,100,IL_Cook,NA
60055,Palatine,North,100,IL_Cook,specific company or organization
60056,Mount Prospect,North,100,IL_Cook,NA
60062,Northbrook,North,100,IL_Cook,NA
60065,Northbrook,North,100,IL_Cook,PO Boxes
60067,Palatine,North,100,IL_Cook,NA
60068,Park Ridge,North,100,IL_Cook,NA
60070,Prospect Heights,North,100,IL_Cook,NA
60074,Palatine,North,98.82,IL_Cook,NA
60076,Skokie,OOJ,100,IL_Cook,NA
60077,Skokie,OOJ,100,IL_Cook,NA
60078,Palatine,North,100,IL_Cook,PO Boxes
60082,Techny,North,100,IL_Cook,PO Boxes
60089,Buffalo Grove,North,39.26,IL_Lake,NA
60090,Wheeling,North,99.82,IL_Cook,NA
60091,Wilmette,North,100,IL_Cook,NA
60093,Winnetka,North,100,IL_Cook,NA
60094,Palatine,North,100,IL_Cook,PO Boxes
60095,Palatine,North,100,IL_Cook,PO Boxes
60103,Bartlett,North,49.79,IL_DuPage,NA
