zip_code,zcta_total_pop,zcta_pop_in_cook,percent_pop_cook,partial,district,primary_city,nssp_region,notes
60004,50582,50582,100,FALSE,North District,Arlington Heights,NA,NA
60005,29308,29308,100,FALSE,North District,Arlington Heights,NA,NA
60007,33820,33820,100,FALSE,North District,Elk Grove Village,NA,borders cross into O'Hare and DuPage but all residents in Cook per census
60008,22717,22717,100,FALSE,North District,Rolling Meadows,NA,NA
60010,44095,19530,44.3,TRUE,North District,Barrington,NA,NA
60015,26800,172,0.6,TRUE,North District,Deerfield,NA,NA
60016,59690,59690,100,FALSE,North District,Des Plaines,NA,NA
60018,30099,30099,100,FALSE,North District,Des Plaines,NA,NA
60022,8153,8153,100,FALSE,North District,Glencoe,NA,NA
60025,39105,39105,100,FALSE,North District,Glenview,NA,NA
60026,13335,13335,100,FALSE,North District,Glenview,NA,NA
60029,482,482,100,FALSE,North District,Golf,NA,NA
60043,2513,2513,100,FALSE,North District,Kenilworth,NA,NA
60053,23260,23260,100,FALSE,North District,Morton Grove,NA,NA
60056,55219,55219,100,FALSE,North District,Mount Prospect,NA,NA
60062,39936,39936,100,FALSE,North District,Northbrook,NA,NA
60067,38585,38585,100,FALSE,North District,Palatine,NA,NA
60068,37475,37475,100,FALSE,North District,Park Ridge,NA,NA
60070,16001,16001,100,FALSE,North District,Prospect Heights,NA,NA
60074,38985,38803,99.5,TRUE,North District,Palatine,NA,NA
60076,33415,33415,100,FALSE,OOJ,Skokie,NA,NA
60077,26825,26825,100,FALSE,OOJ,Skokie,NA,NA
60089,41533,13643,32.8,TRUE,North District,Buffalo Grove,NA,NA
60090,37633,37633,100,FALSE,North District,Wheeling,NA,NA
60091,27020,27020,100,FALSE,North District,Wilmette,NA,NA
60093,19570,19570,100,FALSE,North District,Winnetka,NA,NA
60103,41928,16884,40.3,TRUE,North District,Bartlett,NA,NA
60104,19038,19038,100,FALSE,West District,Bellwood,NA,NA
60107,39927,39927,100,FALSE,North District,Streamwood,NA,NA
60120,50955,24997,49.1,TRUE,North District,Elgin,NA,NA
60126,46371,333,0.7,TRUE,West District,Elmhurst,NA,NA
60130,14167,14167,100,FALSE,West District,Forest Park,NA,NA
60131,18097,18097,100,FALSE,West District,Franklin Park,NA,NA
60133,38103,20636,54.2,TRUE,North District,Hanover Park,NA,NA
60141,224,224,100,FALSE,West District,Hines,NA,NA
60153,24106,24106,100,FALSE,West District,Maywood,NA,NA
60154,16773,16773,100,FALSE,West District,Westchester,NA,NA
60155,7927,7927,100,FALSE,West District,Broadview,NA,NA
60160,25432,25432,100,FALSE,West District,Melrose Park,NA,NA
60162,8111,8111,100,FALSE,West District,Hillside,NA,NA
60163,5209,5209,100,FALSE,West District,Berkeley,NA,NA
60164,22048,22048,100,FALSE,West District,Melrose Park,NA,NA
60165,4946,4946,100,FALSE,West District,Stone Park,NA,NA
60169,33847,33847,100,FALSE,North District,Hoffman Estates,NA,NA
60171,10246,10246,100,FALSE,West District,River Grove,NA,NA
60172,24537,4006,16.3,TRUE,North District,Roselle,NA,NA
60173,12217,12217,100,FALSE,North District,Schaumburg,NA,NA
60176,11795,11795,100,FALSE,West District,Schiller Park,NA,NA
60192,16343,16343,100,FALSE,North District,Hoffman Estates,NA,NA
60193,39188,39188,100,FALSE,North District,Schaumburg,NA,NA
60194,19777,19777,100,FALSE,North District,Schaumburg,NA,NA
60195,4769,4769,100,FALSE,North District,Schaumburg,NA,NA
60201,43125,43125,100,FALSE,OOJ,Evanston,NA,NA
60202,31361,31361,100,FALSE,OOJ,Evanston,NA,NA
60203,4523,4523,100,FALSE,OOJ,Evanston,NA,NA
60301,2539,2539,100,FALSE,OOJ,Oak Park,NA,NA
60302,32108,32108,100,FALSE,OOJ,Oak Park,NA,NA
60304,17231,17231,100,FALSE,OOJ,Oak Park,NA,NA
60305,11172,11172,100,FALSE,West District,River Forest,NA,NA
60402,63448,63448,100,FALSE,West District,Berwyn,NA,part in Berwyn and part in Stickney Township
60406,25460,25460,100,FALSE,Southwest District,Blue Island,NA,NA
60409,37186,37186,100,FALSE,South District,Calumet City,NA,NA
60411,58136,58136,100,FALSE,South District,Chicago Heights,NA,NA
60415,14139,14139,100,FALSE,Southwest District,Chicago Ridge,NA,NA
60419,22788,22788,100,FALSE,South District,Dolton,NA,NA
60422,9403,9403,100,FALSE,South District,Flossmoor,NA,NA
60423,30423,23,0.1,TRUE,South District,Frankfort,NA,NA
60425,9117,9117,100,FALSE,South District,Glenwood,NA,NA
60426,29594,29594,100,FALSE,South District,Harvey,NA,NA
60428,12203,12203,100,FALSE,South District,Markham,NA,NA
60429,15630,15630,100,FALSE,South District,Hazel Crest,NA,NA
60430,20094,20094,100,FALSE,South District,Homewood,NA,NA
60438,28884,28884,100,FALSE,South District,Lansing,NA,NA
60439,22919,20913,91.2,TRUE,Southwest District,Lemont,NA,NA
60443,21145,21145,100,FALSE,South District,Matteson,NA,NA
60445,26057,26057,100,FALSE,South District,Midlothian,NA,NA
60452,27969,27969,100,FALSE,South District,Oak Forest,NA,NA
60453,56855,56855,100,FALSE,Southwest District,Oak Lawn,NA,NA
60455,16446,16446,100,FALSE,Southwest District,Bridgeview,NA,NA
60456,4349,4349,100,FALSE,Southwest District,Hometown,NA,NA
60457,14049,14049,100,FALSE,Southwest District,Hickory Hills,NA,NA
60458,14428,14428,100,FALSE,Southwest District,Justice,NA,NA
60459,28929,28929,100,FALSE,OOJ,Burbank,NA,NA
60461,4836,4836,100,FALSE,South District,Olympia Fields,NA,NA
60462,38723,38723,100,FALSE,Southwest District,Orland Park,NA,NA
60463,14671,14671,100,FALSE,Southwest District,Palos Heights,NA,NA
60464,9620,9620,100,FALSE,Southwest District,Palos Park,NA,NA
60465,17495,17495,100,FALSE,Southwest District,Palos Hills,NA,NA
60466,22115,18630,84.2,TRUE,South District,Park Forest,NA,NA
60467,26046,23733,91.1,TRUE,Southwest District,Orland Park,NA,NA
60469,5930,5930,100,FALSE,South District,Posen,NA,NA
60471,14101,14036,99.5,TRUE,South District,Richton Park,NA,NA
60472,5390,5390,100,FALSE,South District,Robbins,NA,NA
60473,22439,22439,100,FALSE,South District,South Holland,NA,NA
60475,9870,4265,43.2,TRUE,South District,Steger,NA,NA
60476,2391,2391,100,FALSE,South District,Thornton,NA,NA
60477,38161,38158,100,TRUE,South District,Tinley Park,NA,NA
60478,16833,16833,100,FALSE,South District,Country Club Hills,NA,NA
60480,5246,5246,100,FALSE,Southwest District,Willow Springs,NA,NA
60482,11063,11063,100,FALSE,Southwest District,Worth,NA,NA
60487,26928,19307,71.7,TRUE,Southwest District,Tinley Park,NA,NA
60501,11626,11626,100,FALSE,Southwest District,Summit Argo,NA,NA
60513,19047,19047,100,FALSE,West District,Brookfield,NA,NA
60521,17597,2227,12.7,TRUE,West District,Hinsdale,NA,NA
60525,31168,31168,100,FALSE,West District,La Grange,NA,NA
60526,13576,13576,100,FALSE,West District,La Grange Park,NA,NA
60527,27486,4035,14.7,TRUE,West District,Willowbrook,NA,NA
60534,10649,10649,100,FALSE,West District,Lyons,NA,NA
60546,15668,15668,100,FALSE,West District,Riverside,NA,NA
60558,12960,12960,100,FALSE,West District,Western Springs,NA,NA
60601,11110,11110,100,FALSE,OOJ,Chicago,NA,NA
60602,1204,1204,100,FALSE,OOJ,Chicago,NA,NA
60603,493,493,100,FALSE,OOJ,Chicago,NA,NA
60604,570,570,100,FALSE,OOJ,Chicago,NA,NA
60605,24668,24668,100,FALSE,OOJ,Chicago,NA,NA
60606,2308,2308,100,FALSE,OOJ,Chicago,NA,NA
60607,23897,23897,100,FALSE,OOJ,Chicago,NA,NA
60608,82739,82739,100,FALSE,OOJ,Chicago,NA,NA
60609,64906,64906,100,FALSE,OOJ,Chicago,NA,NA
60610,37726,37726,100,FALSE,OOJ,Chicago,NA,NA
60611,28718,28718,100,FALSE,OOJ,Chicago,NA,NA
60612,33472,33472,100,FALSE,OOJ,Chicago,NA,NA
60613,48281,48281,100,FALSE,OOJ,Chicago,NA,NA
60614,66617,66617,100,FALSE,OOJ,Chicago,NA,NA
60615,40603,40603,100,FALSE,OOJ,Chicago,NA,NA
60616,48433,48433,100,FALSE,OOJ,Chicago,NA,NA
60617,84155,84155,100,FALSE,OOJ,Chicago,NA,NA
60618,92084,92084,100,FALSE,OOJ,Chicago,NA,NA
60619,63825,63825,100,FALSE,OOJ,Chicago,NA,NA
60620,72216,72216,100,FALSE,OOJ,Chicago,NA,NA
60621,35912,35912,100,FALSE,OOJ,Chicago,NA,NA
60622,52548,52548,100,FALSE,OOJ,Chicago,NA,NA
60623,92108,92108,100,FALSE,OOJ,Chicago,NA,NA
60624,38105,38105,100,FALSE,OOJ,Chicago,NA,NA
60625,78651,78651,100,FALSE,OOJ,Chicago,NA,NA
60626,50139,50139,100,FALSE,OOJ,Chicago,NA,NA
60628,72202,72202,100,FALSE,OOJ,Chicago,NA,NA
60629,113916,113916,100,FALSE,OOJ,Chicago,NA,NA
60630,54093,54093,100,FALSE,OOJ,Chicago,NA,NA
60631,28641,28641,100,FALSE,OOJ,Chicago,NA,NA
60632,91326,91326,100,FALSE,OOJ,Chicago,NA,NA
60633,12927,12927,100,FALSE,OOJ,Chicago,NA,NA
60634,74298,74298,100,FALSE,OOJ,Chicago,NA,NA
60636,40916,40916,100,FALSE,OOJ,Chicago,NA,NA
60637,49503,49503,100,FALSE,OOJ,Chicago,NA,NA
60638,55026,55026,100,FALSE,OOJ,Chicago,NA,NA
60639,90407,90407,100,FALSE,OOJ,Chicago,NA,NA
60640,65790,65790,100,FALSE,OOJ,Chicago,NA,NA
60641,71663,71663,100,FALSE,OOJ,Chicago,NA,NA
60642,18480,18480,100,FALSE,OOJ,Chicago,NA,NA
60643,49952,49952,100,FALSE,OOJ,Chicago,NA,NA
60644,48648,48648,100,FALSE,OOJ,Chicago,NA,NA
60645,45274,45274,100,FALSE,OOJ,Chicago,NA,NA
60646,27177,27177,100,FALSE,OOJ,Chicago,NA,NA
60647,87291,87291,100,FALSE,OOJ,Chicago,NA,NA
60649,46650,46650,100,FALSE,OOJ,Chicago,NA,NA
60651,64267,64267,100,FALSE,OOJ,Chicago,NA,NA
60652,40959,40959,100,FALSE,OOJ,Chicago,NA,NA
60653,29908,29908,100,FALSE,OOJ,Chicago,NA,NA
60654,14875,14875,100,FALSE,OOJ,Chicago,NA,NA
60655,28550,28550,100,FALSE,OOJ,Chicago,NA,NA
60656,27613,27613,100,FALSE,OOJ,Chicago,NA,NA
60657,65996,65996,100,FALSE,OOJ,Chicago,NA,NA
60659,38104,38104,100,FALSE,OOJ,Chicago,NA,NA
60660,42752,42752,100,FALSE,OOJ,Chicago,NA,NA
60661,7792,7792,100,FALSE,OOJ,Chicago,NA,NA
60706,23134,23134,100,FALSE,West District,Harwood Heights,NA,NA
60707,42920,42920,100,FALSE,West District,Elmwood Park,NA,NA
60712,12590,12590,100,FALSE,North District,Lincolnwood,NA,NA
60714,29931,29931,100,FALSE,North District,Niles,NA,NA
60803,22285,22285,100,FALSE,Southwest District,Alsip,NA,NA
60804,84573,84573,100,FALSE,West District,Cicero,NA,NA
60805,19852,19852,100,FALSE,Southwest District,Evergreen Park,NA,NA
60827,27946,27946,100,FALSE,South District,Riverdale,NA,NA
