census_tract,fips,long_name,population,jurisdiction
010100,17031010100,"Census Tract 101, Cook County, Illinois",4854,CHI
010201,17031010201,"Census Tract 102.01, Cook County, Illinois",6450,CHI
010202,17031010202,"Census Tract 102.02, Cook County, Illinois",2818,CHI
010300,17031010300,"Census Tract 103, Cook County, Illinois",6236,CHI
010400,17031010400,"Census Tract 104, Cook County, Illinois",5042,CHI
010501,17031010501,"Census Tract 105.01, Cook County, Illinois",4091,CHI
010502,17031010502,"Census Tract 105.02, Cook County, Illinois",3101,CHI
010503,17031010503,"Census Tract 105.03, Cook County, Illinois",2290,CHI
010600,17031010600,"Census Tract 106, Cook County, Illinois",6097,CHI
010701,17031010701,"Census Tract 107.01, Cook County, Illinois",3864,CHI
010702,17031010702,"Census Tract 107.02, Cook County, Illinois",5143,CHI
020100,17031020100,"Census Tract 201, Cook County, Illinois",3965,CHI
020200,17031020200,"Census Tract 202, Cook County, Illinois",6676,CHI
020301,17031020301,"Census Tract 203.01, Cook County, Illinois",4750,CHI
020302,17031020302,"Census Tract 203.02, Cook County, Illinois",4650,CHI
020400,17031020400,"Census Tract 204, Cook County, Illinois",4168,CHI
020500,17031020500,"Census Tract 205, Cook County, Illinois",6214,CHI
020601,17031020601,"Census Tract 206.01, Cook County, Illinois",6353,CHI
020602,17031020602,"Census Tract 206.02, Cook County, Illinois",4340,CHI
020701,17031020701,"Census Tract 207.01, Cook County, Illinois",1704,CHI
020702,17031020702,"Census Tract 207.02, Cook County, Illinois",7194,CHI
020801,17031020801,"Census Tract 208.01, Cook County, Illinois",5458,CHI
020802,17031020802,"Census Tract 208.02, Cook County, Illinois",6963,CHI
020901,17031020901,"Census Tract 209.01, Cook County, Illinois",5221,CHI
020902,17031020902,"Census Tract 209.02, Cook County, Illinois",4286,CHI
030101,17031030101,"Census Tract 301.01, Cook County, Illinois",3893,CHI
030102,17031030102,"Census Tract 301.02, Cook County, Illinois",3204,CHI
030103,17031030103,"Census Tract 301.03, Cook County, Illinois",1928,CHI
030104,17031030104,"Census Tract 301.04, Cook County, Illinois",3681,CHI
030200,17031030200,"Census Tract 302, Cook County, Illinois",5369,CHI
030300,17031030300,"Census Tract 303, Cook County, Illinois",3322,CHI
030400,17031030400,"Census Tract 304, Cook County, Illinois",2684,CHI
030500,17031030500,"Census Tract 305, Cook County, Illinois",6395,CHI
030601,17031030601,"Census Tract 306.01, Cook County, Illinois",4012,CHI
030603,17031030603,"Census Tract 306.03, Cook County, Illinois",2095,CHI
030604,17031030604,"Census Tract 306.04, Cook County, Illinois",2976,CHI
030701,17031030701,"Census Tract 307.01, Cook County, Illinois",1549,CHI
030702,17031030702,"Census Tract 307.02, Cook County, Illinois",1630,CHI
030703,17031030703,"Census Tract 307.03, Cook County, Illinois",2830,CHI
030706,17031030706,"Census Tract 307.06, Cook County, Illinois",3599,CHI
030800,17031030800,"Census Tract 308, Cook County, Illinois",4326,CHI
030900,17031030900,"Census Tract 309, Cook County, Illinois",3028,CHI
031000,17031031000,"Census Tract 310, Cook County, Illinois",3656,CHI
031100,17031031100,"Census Tract 311, Cook County, Illinois",4402,CHI
031200,17031031200,"Census Tract 312, Cook County, Illinois",5648,CHI
031300,17031031300,"Census Tract 313, Cook County, Illinois",7076,CHI
031400,17031031400,"Census Tract 314, Cook County, Illinois",5150,CHI
031501,17031031501,"Census Tract 315.01, Cook County, Illinois",4083,CHI
031502,17031031502,"Census Tract 315.02, Cook County, Illinois",4354,CHI
031700,17031031700,"Census Tract 317, Cook County, Illinois",6570,CHI
031800,17031031800,"Census Tract 318, Cook County, Illinois",1820,CHI
031900,17031031900,"Census Tract 319, Cook County, Illinois",2304,CHI
032100,17031032100,"Census Tract 321, Cook County, Illinois",7052,CHI
040100,17031040100,"Census Tract 401, Cook County, Illinois",3985,CHI
040201,17031040201,"Census Tract 402.01, Cook County, Illinois",6218,CHI
040202,17031040202,"Census Tract 402.02, Cook County, Illinois",7249,CHI
040300,17031040300,"Census Tract 403, Cook County, Illinois",3069,CHI
040401,17031040401,"Census Tract 404.01, Cook County, Illinois",3092,CHI
040402,17031040402,"Census Tract 404.02, Cook County, Illinois",4468,CHI
040600,17031040600,"Census Tract 406, Cook County, Illinois",2434,CHI
040700,17031040700,"Census Tract 407, Cook County, Illinois",3123,CHI
040800,17031040800,"Census Tract 408, Cook County, Illinois",1514,CHI
040900,17031040900,"Census Tract 409, Cook County, Illinois",1950,CHI
050100,17031050100,"Census Tract 501, Cook County, Illinois",2290,CHI
050200,17031050200,"Census Tract 502, Cook County, Illinois",4837,CHI
050300,17031050300,"Census Tract 503, Cook County, Illinois",2365,CHI
050500,17031050500,"Census Tract 505, Cook County, Illinois",4754,CHI
050600,17031050600,"Census Tract 506, Cook County, Illinois",2071,CHI
050700,17031050700,"Census Tract 507, Cook County, Illinois",1418,CHI
050800,17031050800,"Census Tract 508, Cook County, Illinois",1289,CHI
050900,17031050900,"Census Tract 509, Cook County, Illinois",1391,CHI
051000,17031051000,"Census Tract 510, Cook County, Illinois",1503,CHI
051100,17031051100,"Census Tract 511, Cook County, Illinois",1556,CHI
051200,17031051200,"Census Tract 512, Cook County, Illinois",1516,CHI
051300,17031051300,"Census Tract 513, Cook County, Illinois",2683,CHI
051400,17031051400,"Census Tract 514, Cook County, Illinois",2077,CHI
060100,17031060100,"Census Tract 601, Cook County, Illinois",2569,CHI
060200,17031060200,"Census Tract 602, Cook County, Illinois",2111,CHI
060300,17031060300,"Census Tract 603, Cook County, Illinois",2839,CHI
060400,17031060400,"Census Tract 604, Cook County, Illinois",3370,CHI
060500,17031060500,"Census Tract 605, Cook County, Illinois",1309,CHI
060800,17031060800,"Census Tract 608, Cook County, Illinois",4837,CHI
060900,17031060900,"Census Tract 609, Cook County, Illinois",6867,CHI
061000,17031061000,"Census Tract 610, Cook County, Illinois",1647,CHI
061100,17031061100,"Census Tract 611, Cook County, Illinois",1379,CHI
061200,17031061200,"Census Tract 612, Cook County, Illinois",1889,CHI
061500,17031061500,"Census Tract 615, Cook County, Illinois",1707,CHI
061800,17031061800,"Census Tract 618, Cook County, Illinois",1112,CHI
061901,17031061901,"Census Tract 619.01, Cook County, Illinois",3433,CHI
061902,17031061902,"Census Tract 619.02, Cook County, Illinois",4240,CHI
062000,17031062000,"Census Tract 620, Cook County, Illinois",2569,CHI
062100,17031062100,"Census Tract 621, Cook County, Illinois",3436,CHI
062200,17031062200,"Census Tract 622, Cook County, Illinois",2870,CHI
062300,17031062300,"Census Tract 623, Cook County, Illinois",1513,CHI
062400,17031062400,"Census Tract 624, Cook County, Illinois",1421,CHI
062500,17031062500,"Census Tract 625, Cook County, Illinois",1497,CHI
062600,17031062600,"Census Tract 626, Cook County, Illinois",2226,CHI
062700,17031062700,"Census Tract 627, Cook County, Illinois",2724,CHI
062800,17031062800,"Census Tract 628, Cook County, Illinois",3506,CHI
062900,17031062900,"Census Tract 629, Cook County, Illinois",3976,CHI
063000,17031063000,"Census Tract 630, Cook County, Illinois",2973,CHI
063100,17031063100,"Census Tract 631, Cook County, Illinois",2173,CHI
