zcta,variable,sex,age,total_pop,pop_in_cook
60004,P012003,Male,Under 5 years,1415,1415
60004,P012004,Male,5 to 9 years,1636,1636
60004,P012005,Male,10 to 14 years,1760,1760
60004,P012006,Male,15 to 17 years,1091,1091
60004,P012007,Male,18 and 19 years,524,524
60004,P012008,Male,20 years,180,180
60004,P012009,Male,21 years,202,202
60004,P012010,Male,22 to 24 years,843,843
60004,P012011,Male,25 to 29 years,1387,1387
60004,P012012,Male,30 to 34 years,1376,1376
60004,P012013,Male,35 to 39 years,1542,1542
60004,P012014,Male,40 to 44 years,1709,1709
60004,P012015,Male,45 to 49 years,1972,1972
60004,P012016,Male,50 to 54 years,2091,2091
60004,P012017,Male,55 to 59 years,1804,1804
60004,P012018,Male,60 and 61 years,562,562
60004,P012019,Male,62 to 64 years,814,814
60004,P012020,Male,65 and 66 years,438,438
60004,P012021,Male,67 to 69 years,617,617
60004,P012022,Male,70 to 74 years,737,737
60004,P012023,Male,75 to 79 years,595,595
60004,P012024,Male,80 to 84 years,552,552
60004,P012025,Male,85 years and over,421,421
60004,P012027,Female,Under 5 years,1369,1369
60004,P012028,Female,5 to 9 years,1625,1625
60004,P012029,Female,10 to 14 years,1652,1652
60004,P012030,Female,15 to 17 years,1078,1078
60004,P012031,Female,18 and 19 years,452,452
60004,P012032,Female,20 years,182,182
60004,P012033,Female,21 years,181,181
60004,P012034,Female,22 to 24 years,831,831
60004,P012035,Female,25 to 29 years,1378,1378
60004,P012036,Female,30 to 34 years,1338,1338
60004,P012037,Female,35 to 39 years,1581,1581
60004,P012038,Female,40 to 44 years,1908,1908
60004,P012039,Female,45 to 49 years,2117,2117
60004,P012040,Female,50 to 54 years,2283,2283
60004,P012041,Female,55 to 59 years,1874,1874
60004,P012042,Female,60 and 61 years,662,662
60004,P012043,Female,62 to 64 years,968,968
60004,P012044,Female,65 and 66 years,508,508
60004,P012045,Female,67 to 69 years,710,710
60004,P012046,Female,70 to 74 years,976,976
60004,P012047,Female,75 to 79 years,797,797
60004,P012048,Female,80 to 84 years,835,835
60004,P012049,Female,85 years and over,1009,1009
60005,P012003,Male,Under 5 years,932,932
60005,P012004,Male,5 to 9 years,940,940
60005,P012005,Male,10 to 14 years,835,835
60005,P012006,Male,15 to 17 years,507,507
60005,P012007,Male,18 and 19 years,285,285
60005,P012008,Male,20 years,108,108
60005,P012009,Male,21 years,120,120
60005,P012010,Male,22 to 24 years,467,467
60005,P012011,Male,25 to 29 years,1041,1041
60005,P012012,Male,30 to 34 years,975,975
