GEOID,NAME,total_population,total_poverty,percent_poverty,poverty_cat,tractname
17031770201,"Census Tract 7702.01, Cook County, Illinois",5929,367,0.061899139821217745,5-9.9%,770201
17031770202,"Census Tract 7702.02, Cook County, Illinois",4876,205,0.04204265791632485,0-4.9%,770202
17031770300,"Census Tract 7703, Cook County, Illinois",6921,157,0.022684583152723595,0-4.9%,770300
17031770400,"Census Tract 7704, Cook County, Illinois",4667,312,0.06685236768802229,5-9.9%,770400
17031770500,"Census Tract 7705, Cook County, Illinois",4223,1282,0.3035756571157945,20-100%,770500
17031770601,"Census Tract 7706.01, Cook County, Illinois",3286,310,0.09433962264150944,5-9.9%,770601
17031770602,"Census Tract 7706.02, Cook County, Illinois",5211,946,0.18153905200537324,10-19.9%,770602
17031770700,"Census Tract 7707, Cook County, Illinois",2451,265,0.10811913504691963,10-19.9%,770700
17031770800,"Census Tract 7708, Cook County, Illinois",5464,382,0.0699121522693997,5-9.9%,770800
17031770901,"Census Tract 7709.01, Cook County, Illinois",5243,501,0.09555597940110623,5-9.9%,770901
17031770902,"Census Tract 7709.02, Cook County, Illinois",3473,162,0.046645551396487184,0-4.9%,770902
17031800100,"Census Tract 8001, Cook County, Illinois",2498,55,0.022017614091273018,0-4.9%,800100
17031800200,"Census Tract 8002, Cook County, Illinois",6421,151,0.023516586201526243,0-4.9%,800200
17031800300,"Census Tract 8003, Cook County, Illinois",3517,110,0.031276656241114587,0-4.9%,800300
17031800400,"Census Tract 8004, Cook County, Illinois",3662,107,0.029219006007646094,0-4.9%,800400
17031800500,"Census Tract 8005, Cook County, Illinois",5279,139,0.026330744459177876,0-4.9%,800500
17031800600,"Census Tract 8006, Cook County, Illinois",2405,103,0.04282744282744283,0-4.9%,800600
17031800700,"Census Tract 8007, Cook County, Illinois",4861,80,0.016457519029006377,0-4.9%,800700
17031800800,"Census Tract 8008, Cook County, Illinois",2278,127,0.05575065847234416,5-9.9%,800800
17031800900,"Census Tract 8009, Cook County, Illinois",4406,152,0.03449841125737631,0-4.9%,800900
17031801000,"Census Tract 8010, Cook County, Illinois",5216,296,0.05674846625766871,5-9.9%,801000
17031801100,"Census Tract 8011, Cook County, Illinois",4880,64,0.013114754098360656,0-4.9%,801100
17031801200,"Census Tract 8012, Cook County, Illinois",3503,109,0.031116186126177562,0-4.9%,801200
17031801300,"Census Tract 8013, Cook County, Illinois",4426,173,0.039087211929507454,0-4.9%,801300
17031801400,"Census Tract 8014, Cook County, Illinois",3063,105,0.034280117531831536,0-4.9%,801400
17031801500,"Census Tract 8015, Cook County, Illinois",6242,154,0.024671579621916052,0-4.9%,801500
17031801601,"Census Tract 8016.01, Cook County, Illinois",4527,230,0.050806273470289376,5-9.9%,801601
17031801603,"Census Tract 8016.03, Cook County, Illinois",4128,767,0.18580426356589147,10-19.9%,801603
17031801605,"Census Tract 8016.05, Cook County, Illinois",5600,63,0.01125,0-4.9%,801605
17031801606,"Census Tract 8016.06, Cook County, Illinois",5907,332,0.056204503131877435,5-9.9%,801606
17031801607,"Census Tract 8016.07, Cook County, Illinois",5278,374,0.07086017430845017,5-9.9%,801607
17031801608,"Census Tract 8016.08, Cook County, Illinois",6915,157,0.022704266088214027,0-4.9%,801608
17031801701,"Census Tract 8017.01, Cook County, Illinois",3876,48,0.01238390092879257,0-4.9%,801701
17031801702,"Census Tract 8017.02, Cook County, Illinois",4687,101,0.021548965222957114,0-4.9%,801702
17031801800,"Census Tract 8018, Cook County, Illinois",5742,383,0.0667014977359805,5-9.9%,801800
17031801901,"Census Tract 8019.01, Cook County, Illinois",4370,283,0.06475972540045767,5-9.9%,801901
17031801902,"Census Tract 8019.02, Cook County, Illinois",3481,62,0.017810973858086755,0-4.9%,801902
17031802002,"Census Tract 8020.02, Cook County, Illinois",5365,129,0.024044734389561975,0-4.9%,802002
17031802003,"Census Tract 8020.03, Cook County, Illinois",2629,84,0.03195131228604032,0-4.9%,802003
17031802004,"Census Tract 8020.04, Cook County, Illinois",5186,840,0.16197454685692247,10-19.9%,802004
