age,standard_pop,proportion
00 years,3794901,0.013818049
01 years,3758562,0.01368573
02 years,3773025,0.013738393
03 years,3791001,0.013803848
04 years,3869031,0.014087972
05 years,3896081,0.014186467
06 years,3917855,0.01426575
07 years,3978143,0.014485272
08 years,3903983,0.01421524
09 years,4223778,0.015379682
10 years,4230322,0.01540351
11 years,4027959,0.014666663
12 years,3941299,0.014351115
13 years,3923270,0.014285468
14 years,3933929,0.014324279
15 years,3952423,0.01439162
16 years,3853629,0.01403189
17 years,4012263,0.01460951
18 years,3936904,0.014335112
19 years,4064299,0.014798984
20 years,4037599,0.014701764
21 years,3764802,0.013708452
22 years,3555718,0.012947132
23 years,3489233,0.012705046
24 years,3409873,0.012416079
25 years,3421099,0.012456955
26 years,3328203,0.012118701
27 years,3434987,0.012507524
28 years,3450602,0.012564382
29 years,4087176,0.014882285
30 years,3999004,0.014561231
31 years,3810183,0.013873694
32 years,3774385,0.013743345
33 years,3840938,0.013985679
34 years,4086860,0.014881134
35 years,4288078,0.015613812
36 years,4349620,0.015837899
37 years,4469476,0.016274321
38 years,4290207,0.015621564
39 years,4782575,0.017414381
40 years,4666685,0.016992401
41 years,4493582,0.016362096
42 years,4487560,0.016340169
43 years,4424004,0.016108748
44 years,4407398,0.016048282
45 years,4268017,0.015540765
46 years,4033859,0.014688146
47 years,3958468,0.014413631
48 years,3681489,0.013405091
49 years,3863960,0.014069507
50 years,3720935,0.013548722
51 years,3504329,0.012760014
52 years,3475657,0.012655613
53 years,3754218,0.013669913
54 years,2769220,0.010083324
55 years,2749739,0.01001239
56 years,2786795,0.010147318
57 years,2947472,0.010732378
58 years,2404462,0.008755162
59 years,2418766,0.008807246
60 years,2259141,0.008226017
61 years,2179759,0.00793697
62 years,2132873,0.007766248
63 years,2030730,0.007394324
64 years,2051769,0.007470931
65 years,2033933,0.007405986
66 years,1862107,0.006780331
67 years,1849893,0.006735857
68 years,1788769,0.006513292
69 years,1875238,0.006828144
70 years,1843087,0.006711075
71 years,1784744,0.006498636
72 years,1802080,0.00656176
73 years,1674285,0.006096431
74 years,1621378,0.005903785
75 years,1610943,0.005865789
76 years,1530137,0.005571557
77 years,1450062,0.005279987
78 years,1456186,0.005302286
79 years,1367231,0.004978381
80 years,1172978,0.004271065
81 years,1065672,0.00388034
82 years,963587,0.003508627
83 years,890893,0.003243933
84 years,807104,0.002938839
85 years,693158,0.002523937
86 years,607940,0.00221364
87 years,536762,0.001954466
88 years,452814,0.001648793
89 years,387893,0.001412402
90 years,327827,0.001193688
91 years,273709,0.000996633
92 years,226917,0.000826253
93 years,180330,0.00065662
94 years,143772,0.000523505
95 years,118131,0.00043014
96 years,88924,0.000323791
97 years,65909,0.000239989
98 years,46278,0.000168508
99 years,37194,0.000135431
100+ years,71615,0.000260766
